UID,Session,Sample,D17O,TeqCO2,d45,d46,d47
C583,2015-12,eEG25,0.005,25.0,0.979936,26.619606,27.037142
C585,2015-12,ETH-1,0.0,,5.743029,11.399379,16.505287
C586,2015-12,ETH-2,0.0,,-5.736941,-4.497562,-10.869451
C587,2015-12,ETH-3,0.0,,5.470831,11.788825,16.944458
C588,2015-12,ETH-4,0.0,,-6.242822,-5.336946,-12.027613
C589,2015-12,dHG,-0.088,1000.0,-0.343334,-12.351128,-13.207698
C590,2015-12,ETH-3,0.0,,5.517295,11.998647,17.194689
C592,2015-12,ETH-1,0.0,,5.783366,11.483675,16.628263
C595,2015-12,eEG25,0.005,25.0,0.98208,26.637526,27.074625
C596,2015-12,dHG,-0.088,1000.0,-0.345417,-12.354272,-13.215529
C597,2015-12,ETH-1,0.0,,5.788328,11.446646,16.585342
C602,2015-12,dEG25,-0.034,25.0,-0.110975,-5.05598,-5.078372
C607,2015-12,ETH-3,0.0,,5.46691,11.805961,16.949239
C608,2015-12,eHG,0.015,1000.0,0.69933,18.045802,17.614751
C613,2015-12,ETH-3,0.0,,5.436922,11.714228,16.83784
C614,2015-12,dEG25,-0.034,25.0,-0.118401,-5.092589,-5.121785
C617,2015-12,ETH-3,0.0,,5.490007,11.827832,16.978404
C620,2015-12,eEG25,0.005,25.0,0.990474,26.682991,27.110247
C621,2015-12,ETH-3,0.0,,5.527886,12.000012,17.200423
C626,2015-12,eHG,0.015,1000.0,0.546762,13.34094,12.842051
C631,2015-12,ETH-3,0.0,,5.469808,11.785498,16.934129
C632,2015-12,dEG25,-0.034,25.0,-0.118296,-5.138766,-5.18118
C633,2015-12,dHG,-0.088,1000.0,-0.396245,-12.374427,-13.262898
C634,2015-12,ETH-3,0.0,,5.512792,11.933609,17.147037
C639,2015-12,eHG,0.015,1000.0,0.606003,15.933587,15.429557
C642,2015-12,ETH-3,0.0,,5.489145,11.831728,16.97935
C645,2015-12,eHG,0.015,1000.0,0.6366,15.297902,14.837355
