UID,Session,Sample,d45,d46,d47,TimeTag
225,3,102-GC-AZ01,3.8810,-0.8330,2.9130,43228.5396
226,3,EG30,-1.3460,19.2660,17.5550,43228.6479
227,3,102-GC-AZ01,3.8250,-0.8000,2.8790,43229.4424
228,3,102-GC-AZ01,10.2850,-5.6840,4.7820,43229.6271
230,3,EG30,-1.9420,1.1250,-0.9020,43230.4986
232,3,HG1000,-0.0610,26.2910,25.0080,43231.4361
235,3,102-GC-AZ01,3.8730,-0.6060,3.1230,43234.5188
244,3,HG1000,-0.8150,5.2990,3.5620,43236.6910
253,3,EG30,-1.9170,0.9930,-1.0280,43238.6417
255,3,EG30,-1.3080,19.2400,17.5900,43239.5215
257,3,102-GC-AZ01,4.1090,-0.5900,3.3730,43239.7153
260,3,HG1000,-0.0520,25.3600,24.1050,43241.5236
266,3,HG1000,-0.7790,5.6480,3.8740,43242.5354
271,3,EG30,-1.9130,0.9750,-1.0390,43243.5701
272,3,HG1000,-0.0350,26.8650,25.5760,43243.6694
273,3,ETH-1,5.7820,11.7130,16.9140,43243.7667
275,3,OLHG,-1.7640,1.0010,-1.6980,43244.5813
276,3,HG1000,-0.7960,5.4630,3.6640,43244.7153
279,3,EG30,-1.2870,19.2560,17.5990,43245.4972
282,3,HG1000,-0.0550,26.8220,25.5110,43245.8042
283,3,ETH-3,5.5170,12.0560,17.4000,43249.4118
287,3,EG30,-1.8830,1.2260,-0.7610,43249.8215
289,3,ETH-4,-6.1200,-5.0920,-11.7890,43250.5292
290,3,HG1000,-0.7280,5.6680,3.9060,43250.6410
296,3,ETH-2,-6.1960,-5.0920,-12.1420,43251.5306
297,3,EG30,-1.2760,19.3160,17.6720,43251.7604
302,3,EG30,-1.8740,1.2160,-0.7780,43252.8049
303,4,HG1000,5.8080,0.3300,5.4620,43256.3646
304,4,EG30,5.1900,13.4960,18.7840,43256.4694
305,4,EG30,4.5690,-4.5790,0.2120,43256.6014
306,4,EG30,5.1870,13.5530,18.8300,43256.7174
307,4,HG1000,6.4890,20.5990,26.3250,43256.8326
308,4,EG30,4.5720,-4.4840,0.2910,43257.4542
309,4,EG30,5.1790,13.4530,18.6940,43257.5521
310,4,EG30,5.1830,13.4740,18.7600,43257.7118
311,4,HG1000,6.4230,19.5930,25.2700,43257.8132
312,4,EG30,5.1750,13.1480,18.4400,43258.3813
313,4,HG1000,5.6590,-0.4620,4.6040,43258.4958
314,4,ETH-1,12.2900,5.8150,17.8800,43258.5903
315,4,ETH-2,0.2570,-10.8950,-11.1710,43258.7132
316,4,102-GC-AZ01,10.3520,-6.3120,4.1910,43258.8118
317,4,EG30,4.5710,-4.6070,0.1880,43259.3542
318,4,ETH-3,11.9920,6.2220,18.3890,43259.4542
319,4,HG1000,6.4370,20.2030,25.8730,43259.5583
320,4,ETH-4,0.2580,-10.8500,-10.8800,43259.6681
321,4,NBS-19,11.7860,5.3430,17.0020,43259.7660
324,4,HG1000,5.7380,-0.1560,4.9470,43260.6833
