Session,Sample,d45,d46,d47,d48,d49
Session01,EG20,2.507166,9.562324,12.053955,22.541692,0.792363
Session01,EG20,4.290780,25.198680,29.353989,59.900003,2.293827
Session01,HG1000,3.780436,18.674059,21.593320,45.541148,1.713636
Session01,ETH-1,5.788994,11.677957,16.907110,86.118001,3.161445
Session01,ETH-2,-6.363918,-5.318026,-12.367343,-12.547925,-0.086443
Session01,ETH-3,5.339104,11.793883,16.929380,27.904165,1.032427
Session01,HG1000,3.393366,-2.678457,0.073577,-6.602184,0.619756
Session01,ETH-4,-6.235517,-5.172846,-11.897782,-12.187041,0.744724
Session01,ETH-3,5.400316,11.981396,17.164617,28.659998,1.619753
Session01,ETH-1,5.791773,11.627373,16.860964,125.058454,3.615795
Session01,ETH-2,-6.210084,-4.913259,-11.846932,-11.423762,0.206116
Session01,ETH-4,-6.358993,-5.271924,-12.122522,-11.434658,1.834274
Session01,HG1000,2.507192,8.072844,9.758030,19.076943,0.603834
Session01,HG1000,-30.893396,-18.564339,-50.352857,-44.234695,-1.654862
Session01,ETH-1,5.773079,11.652410,16.853451,138.885911,3.649012
Session01,ETH-2,-6.238137,-5.100782,-12.050013,-8.244215,0.253280
Session01,ETH-3,5.489687,12.113352,17.392564,29.240043,1.068902
Session01,ETH-4,-6.245164,-5.057683,-11.802767,-12.012956,0.547675
Session01,HG1000,-30.675134,-18.809260,-50.360799,-45.208406,-1.827573
Session01,EG20,5.958090,25.396845,31.359555,62.313356,2.380269
Session01,HG1000,0.169738,-0.479563,-1.077690,-1.457239,0.162234
Session01,EG20,5.111888,-1.699303,3.633904,-4.109714,0.751005
Session01,HG1000,4.407800,19.379090,22.912952,46.885377,0.182220
Session01,EG20,-29.569709,7.798107,-23.090653,19.013352,-0.405515
Session02,HG1000,3.962208,6.650701,9.898790,16.328559,-2.076668
Session02,HG1000,1.029816,6.810299,7.008558,16.711019,-2.205526
Session02,HG1000,4.109305,-2.336583,1.145560,-6.002438,-1.063889
Session02,EG25,4.431907,-1.901215,2.710754,-4.769383,-1.007693
Session02,HG1000,3.869528,7.285349,10.431600,17.710101,-2.897272
Session02,HG1000,4.110709,19.588613,22.872889,48.454164,-4.828364
Session02,EG25,1.219192,20.397538,21.437485,50.865954,-4.692579
Session02,HG1000,0.142499,-0.614950,-1.256124,-1.793739,-1.362317
Session02,EG25,-29.689893,6.048329,-24.977068,15.010439,0.872188
Session02,HG1000,-30.818507,-18.322807,-50.225732,-44.915691,4.854878
Session02,HG1000,1.047642,17.759199,17.838765,44.067544,-4.010783
Session02,ETH-3,5.504282,12.401059,17.766345,30.932527,-4.793064
Session02,EG25,0.789780,-1.428813,-0.593543,-3.528665,-1.007792
Session02,HG1000,1.018176,6.996928,7.180751,17.027641,-2.791122
Session02,HG1000,0.847183,17.126854,17.016927,42.051213,-3.431652
Session02,HG1000,0.142780,-0.670261,-1.315917,-1.989348,-0.600313
Session02,HG1000,0.769684,5.882046,5.842996,14.500748,-5.528689
Session02,EG25,2.416775,20.573990,22.889155,51.504686,-4.708843
Session02,HG1000,1.202144,18.138431,18.368918,44.916131,-3.348869
Session03,HG1000,0.674849,6.347682,6.145214,15.923827,-1.674371
Session03,HG1000,-0.159333,-1.631136,-2.584484,-4.373944,-0.462273
Session03,HG1000,1.896985,16.946162,17.917213,42.605133,-2.884588
Session03,EG25,2.778450,8.491898,11.312427,21.365011,-0.869523
Session03,HG1000,0.387697,-0.285231,-0.681085,-1.072469,0.028080
Session03,HG1000,-30.975694,-18.701988,-50.782115,-47.020980,3.637733
Session03,EG25,-27.723401,6.336720,-22.661688,16.508029,0.473108
Session03,HG1000,3.248995,18.811656,21.167924,47.672516,-2.677305
Session03,ETH-2,-6.214053,-4.839578,-11.827648,-12.208789,-0.606484
Session03,HG1000,2.606432,6.814960,8.637769,17.314416,-1.599728
Session03,EG25,3.866879,20.804545,24.660639,53.288986,-4.020036
Session03,ETH-3,5.501638,12.301647,17.663928,31.362439,-2.806720
Session03,HG1000,2.991674,18.452623,20.561474,46.619581,-2.979847
Session03,EG25,3.557165,8.571515,12.195724,21.878562,-1.988187
Session03,HG1000,0.145251,-1.430471,-2.081530,-3.959080,0.003698
Session03,EG25,3.283649,-0.997321,2.438105,-2.496206,-1.554559
