Session,TimeTag,Sample,d45,d46,d47
B,2,EG25,-0.013995088,1.518925846,1.441866726
B,3,ETH-1,12.15813168,6.726289309,18.54471924
B,4,ETH-2,0.107410556,-9.93234484,-10.34763233
B,5,HG,0.49592159,9.87372524,9.310236959
B,8,ETH-3,11.88461681,7.17879988,19.0683046
B,9,HG,-0.153890533,-1.354419926,-2.360605601
B,10,EG25,0.08352083,7.94728725,7.800828962
B,13,ETH-1,12.15610811,6.701987653,18.4575393
B,14,EG25,1.233307583,39.60244232,40.12502956
B,15,ETH-4,0.03026872,-9.972602633,-10.29014327
B,17,ETH-1,12.15962686,6.730271004,18.48319434
B,18,ETH-2,0.105942771,-9.929995611,-10.4091022
B,1,ETH-1,12.1554695,6.654007844,18.48321605
B,2,EG25,0.155008369,7.658543728,7.642123103
B,3,ETH-2,0.097896222,-9.942074097,-10.3367255
B,5,ETH-1,12.15214733,6.669468364,18.48207003
B,6,ETH-1,12.15176698,6.663543906,18.44186055
B,7,ETH-3,11.87488108,7.116775138,18.99109013
B,8,HG,0.302041562,5.452192883,4.76635023
B,9,EG25,-0.0745435,2.723734465,2.515079484
B,10,ETH-1,12.12757438,6.640271138,18.39224613
B,11,ETH-1,12.13741198,6.638410914,18.40017592
B,12,ETH-2,0.082402561,-9.977173818,-10.43615382
B,13,HG,-0.148398257,0.052530343,-1.030816628
B,14,ETH-4,-0.001217643,-10.16259849,-10.51000166
B,15,ETH-1,12.12622384,6.615274554,18.33661442
B,18,ETH-1,12.12759356,6.625902469,18.32674263
B,19,ETH-3,11.86771373,7.078365098,18.87869239
B,20,ETH-1,12.13167997,6.602537518,18.30923298
B,21,ETH-4,0.004673544,-10.13580085,-10.49656523
B,23,ETH-3,11.85578695,7.097199949,18.84296589
B,24,ETH-1,12.12548483,6.594952921,18.26374873
B,1,ETH-4,0.009025376,-10.08925525,-10.36954484
B,3,ETH-2,0.087949367,-9.985141387,-10.41749451
B,4,ETH-3,11.85771264,7.097573914,18.94225802
B,5,ETH-2,0.091104557,-9.963471867,-10.41213376
B,6,HG,1.012570208,31.16743304,30.78493355
B,7,ETH-2,0.078997821,-10.00342099,-10.46120808
B,8,ETH-4,0.007611925,-10.14679146,-10.47334053
B,12,ETH-2,0.08498257,-9.998756921,-10.48652754
C,1,ETH-3,11.87445934,7.111449982,18.92165986
C,3,ETH-1,12.14815343,6.665787152,18.36158136
C,4,EG25,0.634489274,14.38439756,14.64223491
C,5,ETH-3,11.87526177,7.170074382,18.95948316
