UID,Session,Sample,d45,d46,d47,d48,d49
1,2013-S01,ETH-1,33.796,2.259,36.461,5.346,35.237
2,2013-S01,ETH-1,33.826,2.230,36.485,5.495,44.397
3,2013-S01,ETH-1,33.787,2.225,36.449,5.029,34.060
4,2013-S01,ETH-1,33.773,2.211,36.397,4.607,33.843
5,2013-S01,ETH-2,21.365,-14.293,7.091,-23.363,1.412
6,2013-S01,ETH-2,21.507,-14.308,7.190,-24.459,-19.257
7,2013-S01,ETH-2,21.334,-14.213,7.122,-25.134,-0.371
8,2013-S01,ETH-2,21.389,-14.374,7.025,-24.579,17.286
9,2013-S01,ETH-3,33.438,2.634,36.906,6.494,50.745
10,2013-S01,ETH-3,33.345,2.746,36.910,7.670,49.774
11,2013-S01,ETH-3,33.501,2.797,37.111,6.396,45.335
12,2013-S01,ETH-3,33.503,2.594,36.917,5.740,43.540
13,2013-S01,ETH-4,21.710,-14.517,7.487,-22.884,3.421
14,2013-S01,ETH-4,21.582,-14.353,7.487,-23.462,17.756
15,2013-S01,ETH-4,21.533,-14.361,7.436,-25.381,20.019
16,2013-S01,ETH-4,21.407,-14.386,7.268,-24.696,9.151
17,2013-S01,HG,-0.600,-58.862,-59.051,-69.917,-11.407
18,2013-S01,HG,-2.654,-79.241,-80.904,-79.663,-31.563
19,2013-S01,HG,-0.188,-54.536,-54.349,-36.146,28.933
20,2013-S01,HG,1.026,-24.657,-23.894,94.692,158.151
21,2013-S01,HG,1.563,-23.761,-22.441,-39.885,232.046
22,2013-S01,HG,1.551,-22.698,-21.411,228.476,322.837
23,2013-S01,HG,2.077,-11.949,-10.317,90.468,315.419
24,2013-S01,HG,1.563,-23.761,-22.441,-39.885,232.046
25,2013-S01,HG,0.106,-5.378,-5.917,-9.654,60.132
26,2013-S01,HG,-2.834,-85.060,-86.797,-154.640,-134.763
27,2013-S01,HG,-2.808,-81.618,-83.375,-149.795,-119.440
28,2013-S01,HG,0.004,-7.449,-8.063,-12.920,43.916
29,2013-S01,HGout,6.435,70.298,72.957,142.274,237.812
30,2013-S01,HGout,6.799,69.925,73.001,141.107,260.378
31,2013-S01,HGout,6.183,63.852,66.415,130.096,201.945
32,2013-S01,HG,-0.290,-17.822,-18.503,-9.729,61.223
33,2013-S01,HG,-3.059,-91.208,-93.079,-156.193,-159.704
34,2013-S01,HG,-2.972,-89.294,-91.135,-152.973,-147.163
35,2013-S01,HG,-0.487,-21.349,-22.198,-27.005,-8.318
36,2013-S01,HG,1.041,15.766,15.709,36.542,131.998
37,2013-S01,EG30,-3.778,-104.979,-106.368,-189.156,-32.813
38,2013-S01,EG30,-3.784,-104.777,-106.253,-191.657,-96.349
39,2013-S01,EG30,-3.811,-105.480,-106.929,-191.480,-106.310
40,2013-S01,EG30,-0.630,-21.159,-21.380,-38.803,-23.888
41,2013-S01,EG30,-0.555,-21.091,-21.239,-37.223,63.082
42,2013-S01,EG30,-0.315,-14.166,-14.142,-26.416,12.455
43,2013-S01,EG30,1.117,24.453,25.110,50.139,123.481
44,2013-S01,EG30,0.992,24.038,24.528,49.352,83.100
45,2013-S01,EG30,1.026,23.908,24.458,47.267,48.721
46,2013-S01,EG30,1.092,23.931,24.651,48.407,98.204
47,2013-S01,EG30,-0.678,-20.701,-20.964,-38.795,-41.544
48,2013-S01,EG30,-0.581,-21.516,-21.708,-39.635,-21.558
49,2013-S01,EG30,-0.668,-21.676,-21.953,-39.897,-29.408
50,2013-S01,EG30,1.069,24.140,24.800,56.109,105.839
51,2013-S01,EG30,1.102,24.078,24.712,48.832,41.168
52,2013-S01,EG30,1.043,23.653,24.260,47.779,88.519
53,2013-S01,EG30,-3.626,-102.022,-103.476,-183.461,-169.061
54,2013-S01,EG30,-3.527,-101.722,-103.021,-184.737,-154.863
55,2013-S01,EG30,0.046,-3.637,-3.544,-5.540,39.849
56,2013-S01,EG30,-0.368,-16.106,-16.186,-28.872,40.976
57,2013-S01,EG30,0.101,-3.297,-3.121,-4.311,79.987
58,2013-S01,EG30out,8.972,100.969,105.866,203.877,321.558
59,2013-S01,EG30out,8.984,100.005,105.010,202.516,515.158
60,2013-S01,EG30out,9.143,99.444,104.666,201.072,591.584
61,2013-S01,EG17,-3.490,-102.119,-103.403,-168.248,-188.097
62,2013-S01,EG17,-3.490,-102.225,-103.463,-169.736,-189.320
63,2013-S01,EG17,-3.529,-102.131,-103.439,-168.190,-173.897
64,2013-S01,EG17,-0.437,-19.131,-19.113,-31.267,-4.345
65,2013-S01,EG17,-0.291,-19.123,-18.975,-31.573,-20.327
66,2013-S01,EG17,-0.439,-19.048,-19.045,-30.504,-23.200
67,2013-S01,EG17,1.334,26.648,27.554,48.610,65.481
68,2013-S01,EG17,1.325,26.046,27.052,49.599,132.981
69,2013-S01,EG17,1.269,26.532,27.386,55.307,85.322
