UID,Session,Sample,d45,d46,d47,d48,d49
1,Feb_2017,ETH-1,11.976819,5.073262,16.727461,257.066317,286.856812
2,Feb_2017,ETH-1,12.001559,5.300761,16.962099,264.798773,312.646083
3,Feb_2017,ETH-3,11.721228,5.759496,17.534492,11.522899,20.027724
4,Feb_2017,ETH-3,11.720151,5.804121,17.589231,11.896467,-66.503282
5,Feb_2017,ETH-3,11.712880,5.749810,17.526257,11.739861,36.702464
6,Feb_2017,ETH-3,11.717715,5.869313,17.640856,11.857512,67.451024
7,Feb_2017,ETH-4,-0.101140,-11.319870,-11.618983,-22.035945,304.196231
8,Feb_2017,ETH-4,-0.103830,-11.384897,-11.687958,-22.109351,34.394254
9,Feb_2017,ETH-4,-0.099665,-11.374748,-11.658835,-22.218080,-36.045226
10,Feb_2017,ETH-4,-0.097189,-11.347513,-11.646003,-22.138746,-20.017437
11,Feb_2017,HG,12.024744,3.523476,15.080440,7.043518,54.266710
12,Feb_2017,HG,-25.493787,-7.136763,-33.866713,-14.105663,-8.368051
13,Feb_2017,HG,9.429930,-4.240077,4.704530,-8.393892,53.999613
14,Feb_2017,EG50,-25.573040,-7.805549,-33.856518,-14.859556,20.835603
15,Feb_2017,EG50,6.296362,-7.496564,-1.003454,-14.435885,68.002258
16,Feb_2017,EG50,6.277948,-7.851550,-1.360703,-15.265981,19.404045
17,Feb_2017,EG25,6.991387,9.516717,16.649998,18.753216,77.364604
18,Feb_2017,EG25,-25.008807,9.320883,-16.831859,18.610339,39.860847
19,Feb_2017,EG25,-24.906821,9.342926,-16.691632,18.634243,34.221625
20,Mar_2017,ETH-1,11.986628,5.514995,17.199993,268.731375,278.084076
21,Mar_2017,ETH-1,12.014192,5.416117,17.098155,318.582779,301.901605
22,Mar_2017,ETH-2,-0.090784,-11.246327,-11.800834,-21.114551,-1.836167
23,Mar_2017,ETH-2,-0.096927,-11.271127,-11.817135,-21.734594,4.580382
24,Mar_2017,ETH-2,-0.103089,-11.398923,-11.986724,-21.888833,-207.314478
25,Mar_2017,ETH-2,-0.098565,-11.288049,-11.817525,-21.652513,-5.177563
26,Mar_2017,ETH-3,11.713005,5.922865,17.685764,12.551870,117.844763
27,Mar_2017,HG,-24.908623,7.346035,-19.417348,15.086876,74.318104
28,Mar_2017,HG,11.967123,4.149462,15.618594,8.555075,79.850766
29,Mar_2017,HG,-25.370446,-6.856525,-33.443343,-13.445497,-25.158010
30,Mar_2017,HG,-25.254042,-3.676625,-30.331539,-7.180710,18.811558
31,Mar_2017,EG50,-25.186232,4.790444,-21.446022,9.800773,28.513787
32,Mar_2017,EG50,6.243297,-7.829662,-1.385431,-15.160475,308.820841
33,Mar_2017,EG50,6.798124,5.371270,12.230342,10.847373,112.546773
34,Mar_2017,EG50,6.328507,-7.633316,-1.098969,-14.767335,28.847314
35,Mar_2017,EG25,-24.996435,9.136349,-16.985922,18.383256,-9.371050
36,Mar_2017,EG25,6.543588,-3.102468,3.701168,-5.614390,43.904001
37,Mar_2017,EG25,-24.979121,9.233313,-16.912929,18.646250,-4.306170
38,Mar_2017,EG25,-25.328044,-3.532301,-29.449998,-6.518944,-14.266105
