Session,UID,Sample,d45,d46,d47
2015-03 - 2018-05,46323,ETH-4,-0.26926,-12.80330,-13.32260
2015-03 - 2018-05,46394,ETH-1,11.82530,4.03350,15.53030
2015-03 - 2018-05,47369,ETH-3,11.42360,4.54660,16.00480
2015-03 - 2018-05,47520,HG1000,-0.03060,-0.44655,-1.33160
2015-03 - 2018-05,47527,EG4,1.30600,38.62620,39.43030
2015-03 - 2018-05,47541,EG60,0.92094,29.51380,29.83740
2015-03 - 2018-05,47548,EG60,-0.31084,-7.27590,-7.63760
2015-03 - 2018-05,47752,ETH-4,-0.35650,-12.58800,-13.18330
2015-03 - 2018-05,48071,ETH-1,10.20100,5.01840,14.79400
2015-03 - 2018-05,48321,HG1000,-0.21042,-1.06710,-2.13140
2015-03 - 2018-05,48328,EG60,0.92615,28.66320,29.02190
2015-03 - 2018-05,48335,EG4,1.35020,38.56890,39.41790
2015-03 - 2018-05,48342,EG4,0.12536,1.60930,1.78960
2015-03 - 2018-05,48450,HG1000,-0.01319,-0.39839,-1.28950
2015-03 - 2018-05,48457,EG4,1.30480,38.47230,39.27330
2015-03 - 2018-05,48471,EG60,-0.30821,-7.34100,-7.63600
2015-03 - 2018-05,48478,HG1000,1.13340,32.72750,32.47480
2015-03 - 2018-05,48599,HG1000,1.12390,33.76530,33.48710
2015-03 - 2018-05,48606,EG60,-0.15354,-7.59530,-7.74410
2015-03 - 2018-05,48613,EG4,0.24551,2.04310,2.32840
2015-03 - 2018-05,48925,HG1000,-24.41090,-18.78500,-44.02570
2015-03 - 2018-05,48939,EG60,-24.12590,-7.67870,-32.36650
2015-03 - 2018-05,48946,EG60,-24.11840,-7.67480,-32.38540
2015-03 - 2018-05,49028,ETH-3,11.39360,4.50270,15.91360
2015-03 - 2018-05,49069,HG1000,-24.48790,-18.48710,-43.82200
2015-03 - 2018-05,49772,ETH-4,-0.47842,-12.55610,-13.29570
2015-03 - 2018-05,49968,HG1000,-24.87840,-19.77050,-45.42430
2015-03 - 2018-05,49989,EG4,-25.44650,3.29130,-23.04720
2015-03 - 2018-05,50119,EG23,-24.26740,-1.80390,-26.76430
2015-03 - 2018-05,50126,EG23,0.02726,-1.11120,-1.06170
2015-03 - 2018-05,50140,EG23,-24.26170,-1.72520,-26.67590
2015-03 - 2018-05,50315,ETH-4,-0.42898,-12.35490,-13.03790
2015-03 - 2018-05,50396,ETH-2,-0.34166,-12.26270,-13.09740
2015-03 - 2018-05,51381,EG23,0.14013,-1.47070,-1.31830
2015-03 - 2018-05,51430,EG4,0.29959,2.23450,2.56570
2015-03 - 2018-05,53487,ETH-2,-0.25514,-12.45320,-13.15890
2015-03 - 2018-05,53854,HG1000,0.00707,-0.81055,-1.66630
2015-03 - 2018-05,54111,HG1000,0.26577,-0.75153,-1.30350
2015-03 - 2018-05,54580,HG1000,-24.68220,-19.67980,-45.10790
2015-03 - 2018-05,54587,HG1000,-24.70140,-20.11590,-45.56680
2015-03 - 2018-05,54680,HG1000,-24.68410,-20.83420,-46.22460
2015-03 - 2018-05,54884,HG1000,-0.01320,-0.84486,-1.72300
2015-03 - 2018-05,54891,EG4,0.17868,1.45980,1.74070
2015-03 - 2018-05,54899,HG1000,0.01904,-0.91446,-1.74400
2015-03 - 2018-05,54906,HG1000,-0.13283,-0.86671,-1.85880
2015-03 - 2018-05,54913,EG60,0.02222,-6.64850,-6.64700
2015-03 - 2018-05,54920,EG60,0.02350,-6.59130,-6.60280
2015-03 - 2018-05,54927,EG4,1.63110,38.42830,39.58750
2015-03 - 2018-05,54934,HG1000,1.44040,33.76690,33.79580
2015-03 - 2018-05,54948,EG4,1.63260,38.36550,39.53020
2015-03 - 2018-05,54955,EG60,-24.12650,-6.76400,-31.49820
2015-03 - 2018-05,54985,HG1000,-0.00198,-1.23390,-2.07720
2015-03 - 2018-05,55013,EG4,-1.02090,1.16490,0.18653
2015-03 - 2018-05,55438,EG60,-22.97330,28.14580,3.12100
2015-03 - 2018-05,55705,HG1000,-24.56540,-19.63340,-44.97760
2015-03 - 2018-05,55712,HG1000,-24.51950,-19.68310,-44.98180
2015-03 - 2018-05,55719,EG4,-23.84010,1.83330,-22.76330
2015-03 - 2018-05,55726,EG4,-22.59560,38.90090,14.09490
2015-03 - 2018-05,55733,EG60,-25.64970,-47.46030,-72.03030
2015-03 - 2018-05,55862,EG23,-22.64780,34.96330,10.17470
2015-03 - 2018-05,55869,EG23,-25.40280,-41.88930,-66.31200
2015-03 - 2018-05,56590,HG1000,-0.11853,-0.89581,-1.88300
2015-03 - 2018-05,56743,HG1000,-0.09276,-0.94189,-1.91760
2015-03 - 2018-05,57070,HG1000,-0.09559,-1.04060,-1.98210
2015-03 - 2018-05,57084,HG1000,-0.11292,-1.08290,-2.00850
2015-03 - 2018-05,57136,HG1000,1.34220,33.12990,33.08290
2015-03 - 2018-05,57273,HG1000,1.35700,32.56790,32.55270
2015-03 - 2018-05,57338,HG1000,-24.66110,-19.43420,-44.89580
2015-03 - 2018-05,57345,HG1000,-25.22590,-21.27810,-47.23380
2015-03 - 2018-05,58185,HG1000,-0.55984,-2.42160,-3.83170
2015-03 - 2018-05,58192,HG1000,-0.58071,-2.50680,-3.93330
2015-03 - 2018-05,58479,HG1000,-0.73489,-2.46530,-4.05440
