UID,Session,Sample,d45,d46,d47,d48,d49
1,Session1,eEG,-6.1442211,22.6075811,15.9047467,63.4451974,-1.1323706
11,Session1,EG,-6.6184305,6.0123746,-0.9662639,16.1545149,0.1788407
63,Session1,HG,-6.8976179,3.7049388,-4.3721617,9.5428551,-0.7496152
73,Session1,MERCK,-36.0726388,-2.3301888,-40.1310055,-6.0516689,-0.1270397
81,Session1,Carrara,5.7357922,11.9938877,17.3809459,31.9967688,-1.160185
130,Session1,eHG,-6.0546163,20.5293766,13.0682211,55.0254353,-0.5615274
142,Session1,ETH-1,5.4676973,11.2945476,16.3686643,30.6604132,-2.4291716
151,Session1,ETH-2,-6.3546647,-5.2737116,-12.4367392,-13.9896224,-0.9403791
159,Session1,ETH-3,5.3154915,11.7263277,16.9880194,31.555729,-1.6169915
167,Session1,ETH-4,-6.3245916,-5.3006596,-12.2287059,-14.3811994,-0.295011
176,Session1,eEG,-6.0186334,25.8271601,19.2208512,70.1112914,-1.4672629
184,Session1,MERCK,-35.9679136,-2.1613229,-39.8983622,-5.7238461,0.2873395
192,Session1,ETH-1,5.2735426,11.4631617,16.2327948,30.5941311,-0.823456
201,Session1,Carrara,5.7674355,12.1114116,17.4920675,32.2989699,-0.7057755
209,Session1,ETH-2,-6.2488817,-5.0131965,-12.1209139,-13.655188,0.3541901
217,Session1,ETH-3,5.3739381,11.8481488,17.1641077,31.7132345,-1.0380484
63,Session1,HG,-6.8976179,3.7049388,-4.3721617,9.5428551,-0.7496152
130,Session1,eHG,-6.0546163,20.5293766,13.0682211,55.0254353,-0.5615274
226,Session1,eHG,-5.9237029,25.6677682,18.2842588,68.7944429,-1.4103588
234,Session1,ETH-4,-6.3584754,-5.4353317,-12.3872648,-14.620751,-0.3732165
242,Session1,MERCK,-35.8608725,-2.2901815,-39.8626186,-6.1254708,0.2794318
250,Session1,ETH-1,5.6303604,11.522598,16.685068,30.696663,-0.8377556
258,Session1,ETH-2,-6.2772244,-5.1225332,-12.255187,-13.9985483,-0.0560375
266,Session1,ETH-3,5.4014331,11.89019,17.2290237,31.6754862,-0.820967
274,Session1,MERCK,-35.5943777,-2.2523384,-39.5599229,-6.1017446,0.3066618
283,Session1,HG,-7.3998609,3.8346632,-4.7831976,9.8344839,-0.0401597
291,Session1,TV04,4.8665969,4.8870263,9.639554,12.9060773,-0.8396141
299,Session1,ETH-1,5.6915638,11.5587766,16.8040886,30.6986475,-1.0983208
307,Session1,ETH-2,-6.2377535,-5.1194101,-12.2272073,-13.8283901,0.28946
315,Session1,ETH-3,5.3916861,11.922041,17.2269712,31.7012191,-1.0612452
323,Session1,ETH-4,-6.3242634,-5.2800683,-12.2165479,-14.2678694,0.3287312
331,Session1,Carrara,5.6559178,11.8421827,17.169032,31.6895898,-1.6143943
340,Session1,EG,-6.3949917,6.7632455,-0.0211044,18.0069583,-0.4401203
348,Session1,eHG,-5.6813122,22.8868627,15.79795,61.1040766,-1.5479952
364,Session1,TV04,4.853096,5.0740243,9.7832422,13.3147538,-0.2357903
372,Session1,ETH-1,5.6506847,11.4206353,16.6081592,30.2194286,-0.6602191
380,Session1,ETH-2,-6.198906,-5.0912541,-12.141926,-13.8251828,0.1798572
388,Session1,ETH-3,5.2969854,11.667746,16.8955861,31.220869,-1.5034768
396,Session1,ETH-4,-6.4191166,-5.5719881,-12.5942109,-14.841958,-0.1779817
405,Session1,eEG,-6.0118219,26.241909,19.5885489,70.4310719,-1.2867624
413,Session1,Carrara,5.7061559,11.883476,17.2373774,31.6156798,-1.2713248
421,Session1,MERCK,-36.1108188,-2.3262544,-40.1771354,-6.1436531,0.3485457
429,Session1,ETH-1,5.6813423,11.5558808,16.7531675,30.4892012,-0.7674312
437,Session1,ETH-2,-6.302373,-5.1522036,-12.330645,-14.0445579,0.6103234
445,Session1,ETH-3,5.2745926,11.6404788,16.8505181,31.0718596,-1.1917756
453,Session1,ETH-4,-6.3640603,-5.4426859,-12.4100482,-14.4638374,-0.3864149
461,Session1,TV04,4.8752484,5.0358029,9.7759423,13.0854147,-0.6992287
469,Session1,Carrara,5.7149128,12.7953673,18.1424206,33.7897924,-0.6772951
477,Session1,BOC,-5.91658,9.0474473,1.9064266,23.537688,0.0734221
486,Session1,MERCK,-36.0526395,-2.2531071,-40.0517983,-5.9123248,0.451513
494,Session1,ETH-1,5.6278863,11.3454419,16.5217929,29.9983391,-1.2646835
502,Session1,ETH-2,-6.3301503,-5.3206523,-12.4997869,-14.1196248,0.0719001
510,Session1,ETH-3,5.2632981,11.9025634,17.1098419,31.6384625,-1.6973872
518,Session1,ETH-4,-6.8565521,-2.6814284,-10.1982171,-6.6339276,-2.2385727
536,Session1,EG,-5.678183,26.2573828,20.0112493,70.3744277,-1.4183102
546,Session1,TV04,4.849967,5.0092066,9.7173579,13.2213421,-0.3901013
554,Session1,MERCK,-36.0952181,-2.2297382,-40.0551658,-5.8148346,0.2322715
562,Session1,ETH-1,5.7062887,11.5435874,16.7675822,30.4011045,-0.1399866
570,Session1,ETH-2,-6.3100606,-5.2040601,-12.376721,-14.0463751,0.3582059
578,Session1,ETH-3,5.3601722,11.786294,17.0726265,31.1860018,-0.7313521
586,Session1,ETH-4,-6.3556822,-5.3805542,-12.3430152,-14.3538082,0.4435787
