UID,Sample,Session,d45,d46,d47
34945,eSSB_25,2019,22.1098098,3.292601306,26.31341939
34958,eSSB_25,2019,22.22209414,3.498957514,26.63556084
34977,dR_25,2019,-39.34180187,-22.60526717,-62.40288508
34990,ETH-1,2019,12.97996238,0.438422824,13.1712892
35005,ETH-2,2019,0.915897251,-15.67035239,-15.32113532
35038,ETH-1,2019,13.01521819,0.839266197,13.61336232
35235,ETH-2,2019,0.821235986,-15.77696007,-15.49938014
35247,eSSB_1000,2019,22.1723879,0.046644424,22.19482379
35260,ETH-3,2019,12.7470047,1.505142313,14.42159753
35273,dR_25,2019,-39.37236712,-22.38225899,-62.17972969
35286,dR_1000,2019,-39.13231898,-22.12724239,-62.51117535
35299,eSSB_25,2019,22.19319987,3.886227807,26.97745452
35431,eSSB_25,2019,21.94752217,3.348082143,26.18711088
35456,ETH-2,2019,0.919683288,-15.61184573,-15.23694097
35469,ETH-3,2019,12.67585799,1.355178536,14.19453979
35482,dR_1000,2019,-39.25370874,-21.3827224,-61.94652217
35496,eSSB_1000,2019,22.14436785,1.350898027,23.45420989
35509,ETH-3,2019,12.63150368,1.259454808,14.04175704
35522,ETH-2,2019,0.681538944,-15.76085493,-15.62000997
35535,ETH-1,2019,12.71421983,0.123018168,12.61967908
35549,dR_25,2019,-39.71891042,-23.57820944,-63.66736872
35562,eSSB_1000,2019,22.2706526,1.384102864,23.6242058
35576,ETH-3,2019,12.59887662,1.109180163,13.86189711
35589,ETH-2,2019,0.667999693,-16.10242788,-15.96627037
35602,ETH-1,2019,13.022168,-0.173326264,12.64601372
35614,ETH-3,2019,12.42942662,0.406660741,13.00194797
35640,ETH-2,2019,0.707829472,-15.89539684,-15.737361
35667,dR_1000,2019,-39.66856785,-23.4564917,-64.31014312
35680,ETH-3,2019,12.73068487,1.314433821,14.21356098
35718,ETH-2,2019,0.787032104,-15.93581424,-15.67981228
35731,ETH-1,2019,13.0117673,0.825524933,13.62249419
35744,eSSB_1000,2019,22.11735045,-0.503572956,21.56712413
35758,dR_25,2019,-39.30739902,-22.38630257,-62.12627344
35809,ETH-3,2019,12.68866839,1.24973703,14.11049025
35836,eSSB_25,2019,22.19917734,4.153985128,27.285526
35849,ETH-2,2019,0.837684631,-15.78291569,-15.47261094
35863,ETH-1,2019,12.55925778,0.211436492,12.52973734
35876,dR_1000,2019,-39.08610249,-21.78079937,-62.15520044
35890,dR_25,2019,-39.47257427,-22.6032296,-62.48699157
35902,ETH-2,2019,0.889614192,-15.63637199,-15.27836679
35915,ETH-3,2019,12.70888042,1.435470956,14.30618438
35929,ETH-1,2019,12.852294,0.780101386,13.41522067
35941,ETH-2,2019,0.75608915,-16.02576176,-15.79543664
35954,ETH-1,2019,12.91456997,0.735454635,13.43561458
35968,ETH-3,2019,12.74683304,1.452456571,14.36540555
35985,dR_1000,2019,-39.39236572,-22.73654549,-63.35673489
35999,ETH-2,2019,0.826610576,-15.69415736,-15.39689075
36028,eSSB_25,2019,22.34156631,4.291487275,27.55134829
36067,ETH-1,2019,12.87620269,0.945240495,13.61273886
36171,ETH-3,2019,12.54448641,1.391109398,14.12329592
36216,ETH-1,2019,12.90237227,1.082070017,13.76969147
36268,dR_1000,2019,-39.40043065,-22.69365982,-63.32649762
36280,dR_1000,2019,-39.39974067,-22.69339809,-63.29711025
36410,eSSB_1000,2019,21.91059032,6.075122733,27.96221742
36423,dR_25,2019,-39.07821626,-22.63411574,-62.11351441
36501,ETH-2,2019,0.813672143,-15.29849253,-15.02789017
36548,dR_1000,2019,-39.44082189,-22.28801869,-62.98158886
36564,eSSB_25,2019,22.17387751,3.604358845,26.69690367
36590,ETH-1,2019,12.9153851,1.19527915,13.91096204
36603,ETH-2,2019,0.752852288,-15.57247214,-15.34670723
36616,ETH-4,2019,0.808758841,-15.49221108,-14.97910447
36643,IAEA-C2,2019,3.02046392,-5.610900732,-2.722734564
36656,dR_25,2019,-40.09058167,-22.25171866,-62.80140429
36668,IAEA-C1,2019,13.55243526,0.90108886,14.37712886
36682,MERCK,2019,-28.85140329,-12.57863183,-42.44890436
36694,ETH-1,2019,12.42302603,1.645164502,13.85103562
36729,eSSB_1000,2019,22.18732429,2.521763029,24.70791763
36742,ETH-3,2019,12.55177303,1.367967628,14.1127365
36755,IAEA-C1,2019,13.26393814,0.955546144,14.11830222
36768,ETH-1,2019,12.86575627,0.887516585,13.55156064
36794,ETH-4,2019,0.828060692,-15.14271002,-14.60051287
36807,MERCK,2019,-29.05789986,-12.64291913,-42.72663426
36820,ETH-2,2019,0.740017048,-15.50262825,-15.29036481
36833,ETH-3,2019,12.54573703,1.453375747,14.17958534
36857,dR_25,2019,-39.45481548,-22.84265954,-62.6971392
36870,ETH-4,2019,0.796804,-15.46808537,-14.97556883
36883,IAEA-C1,2019,12.83688681,0.389815709,13.11314821
36896,ETH-1,2019,13.00402762,1.162055116,13.95395099
36909,ETH-3,2019,12.68897433,1.646500464,14.5105886
36922,MERCK,2019,-28.0950175,-12.37201698,-41.46923671
36935,ETH-2,2019,0.745857629,-15.4132381,-15.20166373
36969,eSSB_25,2019,22.07567393,4.100942181,27.08176976
36982,IAEA-C2,2019,2.996078025,-5.987006432,-3.120787797
36995,ETH-1,2019,12.83478819,1.019875517,13.63873232
37008,ETH-4,2019,0.673099046,-15.62046065,-15.24278601
37021,MERCK,2019,-28.01005605,-12.00441271,-41.04366842
37034,ETH-2,2019,0.655077806,-15.93158394,-15.79654799
37047,IAEA-C1,2019,13.33340319,1.502164539,14.74838108
37060,ETH-3,2019,12.45095783,1.130505335,13.76135217
37086,IAEA-C2,2019,2.813084134,-6.282215099,-3.59479812
37320,eSSB_25,2019,22.09705919,3.901153535,26.90752594
37333,ETH-1,2019,12.88127894,1.189754416,13.85286437
