UID,Lab,Session,Instrument,Acid T,Sample,Mass,d45,d46,d47
01_01_001,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.678000,11.999000,17.150000
01_01_002,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.706000,11.992000,17.142000
01_01_003,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.681000,11.933000,17.053000
01_01_004,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.678000,11.947000,17.066000
01_01_005,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.679000,11.990000,17.077000
01_01_006,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.688000,11.987000,17.072000
01_01_007,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.689000,11.968000,17.078000
01_01_008,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.682000,11.818000,16.921000
01_01_009,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.679000,11.844000,16.939000
01_01_010,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.664000,11.778000,16.891000
01_01_011,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.620000,11.732000,16.788000
01_01_012,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.677000,11.807000,16.874000
01_01_013,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.782000,12.019000,17.196000
01_01_014,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.768000,11.962000,17.159000
01_01_015,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.781000,12.025000,17.204000
01_01_016,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,5.783000,12.052000,17.200000
01_01_017,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.346000,-4.743000,-11.812000
01_01_018,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.333000,-4.707000,-11.703000
01_01_019,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.359000,-4.799000,-11.835000
01_01_020,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.351000,-4.772000,-11.820000
01_01_021,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-6.363000,-4.783000,-11.858000
