UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
C583,2015-12,eEG25,-3.952,24.710,0.979936,26.619606,27.037142,nan,nan,-3.882607,52.014868,-0.159161,nan,nan,0.906265
C585,2015-12,ETH-1,-3.952,24.710,5.743029,11.399379,16.505287,nan,nan,1.750440,36.390592,-0.681239,nan,nan,0.224401
C586,2015-12,ETH-2,-3.952,24.710,-5.736941,-4.497562,-10.869451,nan,nan,-9.900623,20.109942,-0.561344,nan,nan,0.220820
C587,2015-12,ETH-3,-3.952,24.710,5.470831,11.788825,16.944458,nan,nan,1.446043,36.790723,-0.348736,nan,nan,0.624970
C588,2015-12,ETH-4,-3.952,24.710,-6.242822,-5.336946,-12.027613,nan,nan,-10.408813,19.250058,-0.378625,nan,nan,0.433419
C589,2015-12,dHG,-3.952,24.710,-0.343334,-12.351128,-13.207698,nan,nan,-3.855166,12.041455,-0.724367,nan,nan,0.013011
C590,2015-12,ETH-3,-3.952,24.710,5.517295,11.998647,17.194689,nan,nan,1.487878,37.005852,-0.354244,nan,nan,0.619719
C592,2015-12,ETH-1,-3.952,24.710,5.783366,11.483675,16.628263,nan,nan,1.790344,36.476970,-0.683580,nan,nan,0.222257
C595,2015-12,eEG25,-3.952,24.710,0.982080,26.637526,27.074625,nan,nan,-3.880974,52.033246,-0.142036,nan,nan,0.926976
C596,2015-12,dHG,-3.952,24.710,-0.345417,-12.354272,-13.215529,nan,nan,-3.857270,12.038235,-0.727022,nan,nan,0.009790
C597,2015-12,ETH-1,-3.952,24.710,5.788328,11.446646,16.585342,nan,nan,1.796990,36.438973,-0.694888,nan,nan,0.208485
C602,2015-12,dEG25,-3.952,24.710,-0.110975,-5.055980,-5.078372,nan,nan,-3.881187,19.524199,0.005731,nan,nan,0.931086
C607,2015-12,ETH-3,-3.952,24.710,5.466910,11.805961,16.949239,nan,nan,1.441236,36.808310,-0.356660,nan,nan,0.615505
C608,2015-12,eHG,-3.952,24.710,0.699330,18.045802,17.614751,nan,nan,-3.869705,43.220312,-0.841906,nan,nan,0.037949
C613,2015-12,ETH-3,-3.952,24.710,5.436922,11.714228,16.837840,nan,nan,1.412635,36.714279,-0.346302,nan,nan,0.627312
C614,2015-12,dEG25,-3.952,24.710,-0.118401,-5.092589,-5.121785,nan,nan,-3.887750,19.486663,0.005936,nan,nan,0.931098
C617,2015-12,ETH-3,-3.952,24.710,5.490007,11.827832,16.978404,nan,nan,1.465053,36.830692,-0.372926,nan,nan,0.596182
C620,2015-12,eEG25,-3.952,24.710,0.990474,26.682991,27.110247,nan,nan,-3.873682,52.079865,-0.159535,nan,nan,0.906210
C621,2015-12,ETH-3,-3.952,24.710,5.527886,12.000012,17.200423,nan,nan,1.499116,37.007227,-0.360796,nan,nan,0.611902
C626,2015-12,eHG,-3.952,24.710,0.546762,13.340940,12.842051,nan,nan,-3.860202,38.394337,-0.832030,nan,nan,0.024119
C631,2015-12,ETH-3,-3.952,24.710,5.469808,11.785498,16.934129,nan,nan,1.445075,36.787312,-0.354608,nan,nan,0.617881
C632,2015-12,dEG25,-3.952,24.710,-0.118296,-5.138766,-5.181180,nan,nan,-3.885932,19.439294,-0.008238,nan,nan,0.913804
C633,2015-12,dHG,-3.952,24.710,-0.396245,-12.374427,-13.262898,nan,nan,-3.910698,12.017676,-0.702535,nan,nan,0.038861
C634,2015-12,ETH-3,-3.952,24.710,5.512792,11.933609,17.147037,nan,nan,1.485462,36.939146,-0.333290,nan,nan,0.644557
C639,2015-12,eHG,-3.952,24.710,0.606003,15.933587,15.429557,nan,nan,-3.891953,41.053781,-0.853629,nan,nan,0.012162
C642,2015-12,ETH-3,-3.952,24.710,5.489145,11.831728,16.979350,nan,nan,1.463991,36.834690,-0.374896,nan,nan,0.593828
C645,2015-12,eHG,-3.952,24.710,0.636600,15.297902,14.837355,nan,nan,-3.836086,40.401613,-0.853252,nan,nan,0.009429
C648,2015-12,ETH-3,-3.952,24.710,5.479786,11.768713,16.911502,nan,nan,1.456325,36.770071,-0.370780,nan,nan,0.598393
C651,2015-12,eEG25,-3.952,24.710,0.976456,26.682001,27.108709,nan,nan,-3.888587,52.078882,-0.145633,nan,nan,0.922851
C658,2015-12,ETH-3,-3.952,24.710,5.516400,11.883350,17.070454,nan,nan,1.491149,36.887581,-0.363444,nan,nan,0.608033
D365,2016-10,ETH-1,-3.762,33.882,5.468933,3.064133,7.977227,nan,nan,1.956832,37.040166,-0.688940,nan,nan,0.202159
D366,2016-10,ETH-2,-3.762,33.882,-6.298624,-13.194205,-19.933114,nan,nan,-9.988326,20.240346,-0.557315,nan,nan,0.194349
D367,2016-10,ETH-3,-3.762,33.882,5.188877,3.452138,8.435248,nan,nan,1.643844,37.442396,-0.327694,nan,nan,0.606863
D368,2016-10,ETH-4,-3.762,33.882,-6.518535,-13.601362,-20.359814,nan,nan,-10.207661,19.819452,-0.358803,nan,nan,0.412991
D369,2016-10,ETH-1,-3.762,33.882,5.449461,2.971005,7.844107,nan,nan,1.939511,36.943825,-0.709735,nan,nan,0.178272
D370,2016-10,ETH-2,-3.762,33.882,-6.400317,-13.395720,-20.236783,nan,nan,-10.089260,20.032016,-0.560831,nan,nan,0.188755
D371,2016-10,ETH-3,-3.762,33.882,5.164327,3.373256,8.334051,nan,nan,1.620581,37.360812,-0.325563,nan,nan,0.608677
D372,2016-10,ETH-4,-3.762,33.882,-6.549589,-13.671220,-20.407757,nan,nan,-10.238173,19.747222,-0.305882,nan,nan,0.471642
D373,2016-10,ETH-4,-3.762,33.882,-6.548318,-13.554869,-20.318896,nan,nan,-10.241153,19.867641,-0.332452,nan,nan,0.442553
D374,2016-10,ETH-2,-3.762,33.882,-6.394718,-13.315468,-20.137162,nan,nan,-10.086280,20.115063,-0.544947,nan,nan,0.206990
D375,2016-10,ETH-1,-3.762,33.882,5.485167,3.073232,8.006374,nan,nan,1.973807,37.049545,-0.685602,nan,nan,0.206037
D376,2016-10,ETH-3,-3.762,33.882,5.178891,3.421813,8.414656,nan,nan,1.634316,37.411034,-0.308159,nan,nan,0.628498
D377,2016-10,ETH-2,-3.762,33.882,-6.415292,-13.379491,-20.225533,nan,nan,-10.105833,20.048847,-0.549977,nan,nan,0.200901
D378,2016-10,ETH-3,-3.762,33.882,5.179944,3.440522,8.427989,nan,nan,1.634748,37.430395,-0.314347,nan,nan,0.621682
D379,2016-10,ETH-1,-3.762,33.882,5.448170,2.980218,7.867465,nan,nan,1.937793,36.953364,-0.694277,nan,nan,0.195611
D380,2016-10,eEG30,-3.762,33.882,0.251949,7.934918,7.996296,nan,nan,-3.786641,42.093517,-0.065135,nan,nan,0.896741
D381,2016-10,ETH-3,-3.762,33.882,5.187537,3.441961,8.441209,nan,nan,1.642791,37.431866,-0.310442,nan,nan,0.626103
D382,2016-10,ETH-3,-3.762,33.882,5.184713,3.407390,8.404098,nan,nan,1.641058,37.396093,-0.310471,nan,nan,0.625866
D394,2016-10,ETH-3,-3.762,33.882,5.158984,3.307018,8.284475,nan,nan,1.617332,37.292269,-0.304346,nan,nan,0.632023
D395,2016-10,ETH-3,-3.762,33.882,5.151176,3.302328,8.262136,nan,nan,1.609179,37.287433,-0.313889,nan,nan,0.621275
