UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
225,3,102-GC-AZ01,-3.736,25.667,3.881000,-0.833000,2.913000,nan,nan,0.432030,24.802895,-0.267437,nan,nan,0.590310
226,3,EG30,-3.736,25.667,-1.346000,19.266000,17.555000,nan,nan,-5.878352,45.452117,0.032509,nan,nan,0.886609
227,3,102-GC-AZ01,-3.736,25.667,3.825000,-0.800000,2.879000,nan,nan,0.371111,24.836907,-0.276272,nan,nan,0.583141
228,3,102-GC-AZ01,-3.736,25.667,10.285000,-5.684000,4.782000,nan,nan,7.438483,19.807302,-0.177623,nan,nan,0.687850
230,3,EG30,-3.736,25.667,-1.942000,1.125000,-0.902000,nan,nan,-5.848071,26.826783,-0.002430,nan,nan,0.898409
232,3,HG1000,-3.736,25.667,-0.061000,26.291000,25.008000,nan,nan,-4.764686,52.662244,-0.748095,nan,nan,0.008958
235,3,102-GC-AZ01,-3.736,25.667,3.873000,-0.606000,3.123000,nan,nan,0.415129,25.035988,-0.273213,nan,nan,0.599786
244,3,HG1000,-3.736,25.667,-0.815000,5.299000,3.562000,nan,nan,-4.800238,31.109908,-0.798862,nan,nan,0.043934
253,3,EG30,-3.736,25.667,-1.917000,0.993000,-1.028000,nan,nan,-5.816554,26.691192,-0.024756,nan,nan,0.886432
255,3,EG30,-3.736,25.667,-1.308000,19.240000,17.590000,nan,nan,-5.836890,45.425331,0.052711,nan,nan,0.905558
257,3,102-GC-AZ01,-3.736,25.667,4.109000,-0.590000,3.373000,nan,nan,0.666139,25.051870,-0.282216,nan,nan,0.602946
260,3,HG1000,-3.736,25.667,-0.052000,25.360000,24.105000,nan,nan,-4.721176,51.706289,-0.746672,nan,nan,0.051593
266,3,HG1000,-3.736,25.667,-0.779000,5.648000,3.874000,nan,nan,-4.774693,31.468168,-0.866376,nan,nan,0.004698
271,3,EG30,-3.736,25.667,-1.913000,0.975000,-1.039000,nan,nan,-5.811626,26.672701,-0.022223,nan,nan,0.896008
272,3,HG1000,-3.736,25.667,-0.035000,26.865000,25.576000,nan,nan,-4.757871,53.251556,-0.770518,nan,nan,0.029348
273,3,ETH-1,-3.736,25.667,5.782000,11.713000,16.914000,nan,nan,1.997296,37.680261,-0.624078,nan,nan,0.212053
