UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
#1,Session01,EG20,-3.670,25.115,2.507166,9.562324,12.053955,22.541692,0.792363,-1.348582,34.922330,0.041830,3.262915,-20.367733,0.946479
#2,Session01,EG20,-3.670,25.115,4.290780,25.198680,29.353989,59.900003,2.293827,-0.018674,50.964515,0.047592,8.437103,-49.886263,0.923435
#3,Session01,HG1000,-3.670,25.115,3.780436,18.674059,21.593320,45.541148,1.713636,-0.324730,44.269996,-0.719164,7.559353,-37.928003,0.064146
#4,Session01,ETH-1,-3.670,25.115,5.788994,11.677957,16.907110,86.118001,3.161445,2.072741,37.085787,-0.603987,61.188299,-25.480001,0.203236
#5,Session01,ETH-2,-3.670,25.115,-6.363918,-5.318026,-12.367343,-12.547925,-0.086443,-10.258535,19.672404,-0.615411,-1.961015,17.344160,0.240327
#6,Session01,ETH-3,-3.670,25.115,5.339104,11.793883,16.929380,27.904165,1.032427,1.588842,37.205799,-0.233351,4.080519,-27.303546,0.624981
#7,Session01,HG1000,-3.670,25.115,3.393366,-2.678457,0.073577,-6.602184,0.619756,0.046704,22.358630,-0.783357,-1.259151,2.283990,0.027917
#8,Session01,ETH-4,-3.670,25.115,-6.235517,-5.172846,-11.897782,-12.187041,0.744724,-10.127005,19.821094,-0.416984,-1.887644,17.757680,0.465333
#9,Session01,ETH-3,-3.670,25.115,5.400316,11.981396,17.164617,28.659998,1.619753,1.647230,37.398086,-0.247059,4.446497,-27.150323,0.608980
#10,Session01,ETH-1,-3.670,25.115,5.791773,11.627373,16.860964,125.058454,3.615795,2.077558,37.033870,-0.603057,99.344883,-24.945690,0.204374
#11,Session01,ETH-2,-3.670,25.115,-6.210084,-4.913259,-11.846932,-11.423762,0.206116,-10.109481,20.087428,-0.648306,-1.637493,16.660820,0.202003
#12,Session01,ETH-4,-3.670,25.115,-6.358993,-5.271924,-12.122522,-11.434658,1.834274,-10.254988,19.719703,-0.418336,-0.928426,19.200149,0.464179
#13,Session01,HG1000,-3.670,25.115,2.507192,8.072844,9.758030,19.076943,0.603834,-1.293879,33.393801,-0.777454,2.820375,-17.706468,0.018064
#14,Session01,HG1000,-3.670,25.115,-30.893396,-18.564339,-50.352857,-44.234695,-1.654862,-35.919571,6.135058,-0.859505,-7.735463,71.034384,0.027545
#15,Session01,ETH-1,-3.670,25.115,5.773079,11.652410,16.853451,138.885911,3.649012,2.056710,37.059607,-0.615596,112.801226,-24.941529,0.190117
#16,Session01,ETH-2,-3.670,25.115,-6.238137,-5.100782,-12.050013,-8.244215,0.253280,-10.132461,19.895054,-0.639436,1.951127,17.115957,0.212443
