Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
EG20,5,-6.65,38.72,0.9464,,,0.0178,
EG25,90,-4.02,33.88,0.9196,,,0.0126,
HG1000,162,-4.45,31.26,0.0266,,,0.0136,
ETH-1,5,2.05,37.03,0.2108,0.0069,± 0.0136,0.0162,0.169
ETH-2,11,-10.16,19.87,0.2225,0.0046,± 0.0091,0.0115,0.438
ETH-3,20,1.69,37.46,0.6169,0.0033,± 0.0066,0.0092,1.000
ETH-4,5,-10.18,19.83,0.4624,0.0068,± 0.0135,0.0038,0.142
HG1000_BAD1,1,0.88,24.73,0.5937,0.0141,± 0.0278,,
HG1000_BAD2,1,0.94,24.68,0.6081,0.0140,± 0.0276,,
HG1000_BAD3,1,2.27,37.44,0.3126,0.0141,± 0.0278,,
