Session,Na,Nu,d13Cwg_VPDB,d18Owg_VSMOW,r_d13C,r_d18O,r_D47,a ± SE,1e3 x b ± SE,c ± SE
Session01,12,12,-3.670,25.115,16.7063,14.6607,0.0143,0.879 ± 0.008,1.504 ± 0.130,-0.808 ± 0.004
Session02,18,1,-3.702,24.742,11.2376,11.0009,0.0110,0.891 ± 0.007,4.951 ± 0.164,-0.814 ± 0.004
Session03,18,2,-3.713,24.831,11.1297,10.5510,0.0093,0.923 ± 0.007,5.234 ± 0.160,-0.839 ± 0.004
Session04,32,6,-3.705,24.826,12.5734,9.1327,0.0125,0.908 ± 0.005,5.232 ± 0.116,-0.838 ± 0.003
Session05,37,4,-3.699,24.836,13.8484,8.8017,0.0154,0.907 ± 0.005,6.310 ± 0.106,-0.836 ± 0.003
Session06,37,2,-3.701,24.769,1.0480,10.1348,0.0168,0.898 ± 0.005,5.191 ± 0.195,-0.820 ± 0.003
Session07,17,1,-3.703,24.755,1.1892,9.9472,0.0137,0.880 ± 0.009,5.350 ± 0.308,-0.808 ± 0.004
Session08,16,1,-3.702,24.742,1.7844,9.3711,0.0109,0.888 ± 0.008,4.808 ± 0.357,-0.812 ± 0.005
Session09,15,2,-3.713,24.831,1.0854,9.1782,0.0085,0.925 ± 0.008,4.954 ± 0.300,-0.835 ± 0.004
Session10,25,6,-3.705,24.826,1.1106,7.4283,0.0115,0.907 ± 0.006,4.922 ± 0.260,-0.834 ± 0.004
Session11,30,7,-3.698,24.845,1.3134,7.1811,0.0162,0.906 ± 0.005,6.083 ± 0.245,-0.834 ± 0.003
