UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
#1,B,EG25,-10.638,30.760,-0.013995,1.518926,1.441867,nan,nan,-10.708559,32.327430,-0.036722,nan,nan,0.938425
#2,B,ETH-1,-10.638,30.760,12.158132,6.726289,18.544719,nan,nan,1.994262,37.672515,-0.684302,nan,nan,0.225019
#3,B,ETH-2,-10.638,30.760,0.107411,-9.932345,-10.347632,nan,nan,-10.155785,20.511123,-0.699097,nan,nan,0.217608
#4,B,HG,-10.638,30.760,0.495922,9.873725,9.310237,nan,nan,-10.476384,40.947223,-0.902125,nan,nan,-0.003924
#5,B,ETH-3,-10.638,30.760,11.884617,7.178800,19.068305,nan,nan,1.687832,38.140069,-0.333574,nan,nan,0.641068
#6,B,HG,-10.638,30.760,-0.153891,-1.354420,-2.360606,nan,nan,-10.750549,29.362875,-0.871871,nan,nan,0.053195
#7,B,EG25,-10.638,30.760,0.083521,7.947287,7.800829,nan,nan,-10.842359,38.960364,-0.096775,nan,nan,0.915688
#8,B,ETH-1,-10.638,30.760,12.156108,6.701988,18.457539,nan,nan,1.993014,37.647444,-0.744059,nan,nan,0.214494
#9,B,EG25,-10.638,30.760,1.233308,39.602442,40.125030,nan,nan,-10.781605,71.621660,-0.102973,nan,nan,0.927264
#10,B,ETH-4,-10.638,30.760,0.030269,-9.972603,-10.290143,nan,nan,-10.236013,20.469760,-0.521556,nan,nan,0.475347
#11,B,ETH-1,-10.638,30.760,12.159627,6.730271,18.483194,nan,nan,1.995699,37.676620,-0.750074,nan,nan,0.230081
#12,B,ETH-2,-10.638,30.760,0.105943,-9.929996,-10.409102,nan,nan,-10.157428,20.513551,-0.761984,nan,nan,0.225864
#13,B,ETH-1,-10.638,30.760,12.155470,6.654008,18.483216,nan,nan,1.994105,37.597938,-0.671388,nan,nan,0.228198
#14,B,EG25,-10.638,30.760,0.155008,7.658544,7.642123,nan,nan,-10.755991,38.662255,-0.046420,nan,nan,0.926956
#15,B,ETH-2,-10.638,30.760,0.097896,-9.942074,-10.336726,nan,nan,-10.165503,20.501106,-0.668621,nan,nan,0.245785
#16,B,ETH-1,-10.638,30.760,12.152147,6.669468,18.482070,nan,nan,1.990016,37.613899,-0.684219,nan,nan,0.236243
#17,B,ETH-1,-10.638,30.760,12.151767,6.663544,18.441861,nan,nan,1.989831,37.607786,-0.717502,nan,nan,0.204961
#18,B,ETH-3,-10.638,30.760,11.874881,7.116775,18.991090,nan,nan,1.679803,38.076092,-0.338871,nan,nan,0.629651
#19,B,HG,-10.638,30.760,0.302042,5.452193,4.766350,nan,nan,-10.518916,36.385271,-0.901147,nan,nan,0.014381
#20,B,EG25,-10.638,30.760,-0.074543,2.723734,2.515079,nan,nan,-10.817197,33.570760,-0.084954,nan,nan,0.923836
#21,B,ETH-1,-10.638,30.760,12.127574,6.640271,18.392246,nan,nan,1.965060,37.583829,-0.718830,nan,nan,0.225746
#22,B,ETH-1,-10.638,30.760,12.137412,6.638411,18.400176,nan,nan,1.975550,37.581886,-0.719253,nan,nan,0.230839
#23,B,ETH-2,-10.638,30.760,0.082403,-9.977174,-10.436154,nan,nan,-10.180613,20.464924,-0.718220,nan,nan,0.240946
#24,B,HG,-10.638,30.760,-0.148398,0.052530,-1.030817,nan,nan,-10.796756,30.814631,-0.929407,nan,nan,0.011589
#25,B,ETH-4,-10.638,30.760,-0.001218,-10.162598,-10.510002,nan,nan,-10.262312,20.273785,-0.522550,nan,nan,0.468710
#26,B,ETH-1,-10.638,30.760,12.126224,6.615275,18.336614,nan,nan,1.964550,37.558039,-0.747646,nan,nan,0.221661
#27,B,ETH-1,-10.638,30.760,12.127594,6.625902,18.326743,nan,nan,1.965610,37.569002,-0.769101,nan,nan,0.214597
#28,B,ETH-3,-10.638,30.760,11.867714,7.078365,18.878692,nan,nan,1.673625,38.036475,-0.404350,nan,nan,0.623918
#29,B,ETH-1,-10.638,30.760,12.131680,6.602538,18.309233,nan,nan,1.970800,37.544884,-0.767640,nan,nan,0.227340
#30,B,ETH-4,-10.638,30.760,0.004674,-10.135801,-10.496565,nan,nan,-10.257066,20.301423,-0.541654,nan,nan,0.486494
#31,B,ETH-3,-10.638,30.760,11.855787,7.097200,18.842966,nan,nan,1.660296,38.055937,-0.445626,nan,nan,0.600475
#32,B,ETH-1,-10.638,30.760,12.125485,6.594953,18.263749,nan,nan,1.964516,37.537072,-0.798561,nan,nan,0.215362
#33,B,ETH-4,-10.638,30.760,0.009025,-10.089255,-10.369545,nan,nan,-10.254185,20.349441,-0.464051,nan,nan,0.461148
#34,B,ETH-2,-10.638,30.760,0.087949,-9.985141,-10.417495,nan,nan,-10.174441,20.456690,-0.697189,nan,nan,0.214166
#35,B,ETH-3,-10.638,30.760,11.857713,7.097574,18.942258,nan,nan,1.662322,38.056319,-0.350541,nan,nan,0.600049
#36,B,ETH-2,-10.638,30.760,0.091105,-9.963472,-10.412134,nan,nan,-10.171904,20.479042,-0.716532,nan,nan,0.203875
#37,B,HG,-10.638,30.760,1.012570,31.167433,30.784934,nan,nan,-10.708712,62.918297,-0.889565,nan,nan,0.013011
#38,B,ETH-2,-10.638,30.760,0.078998,-10.003421,-10.461208,nan,nan,-10.183246,20.437849,-0.713964,nan,nan,0.217848
#39,B,ETH-4,-10.638,30.760,0.007612,-10.146791,-10.473341,nan,nan,-10.253545,20.290076,-0.510316,nan,nan,0.448876
#40,B,ETH-2,-10.638,30.760,0.084983,-9.998757,-10.486528,nan,nan,-10.177079,20.442647,-0.750331,nan,nan,0.205400
#41,C,ETH-3,-10.648,30.712,11.874459,7.111450,18.921660,nan,nan,1.668776,38.021685,-0.401354,nan,nan,0.628204
#42,C,ETH-1,-10.648,30.712,12.148153,6.665787,18.361581,nan,nan,1.975141,37.561218,-0.794776,nan,nan,0.204586
#43,C,EG25,-10.648,30.712,0.634489,14.384398,14.642235,nan,nan,-10.506017,45.552027,-0.157002,nan,nan,0.912037
#44,C,ETH-3,-10.648,30.712,11.875262,7.170074,18.959483,nan,nan,1.667466,38.082171,-0.422273,nan,nan,0.627925
#45,C,ETH-3,-10.648,30.712,11.875653,7.140076,18.910982,nan,nan,1.668986,38.051218,-0.440979,nan,nan,0.612925
#46,C,HG,-10.648,30.712,-0.077594,0.842771,-0.243099,nan,nan,-10.761588,31.581273,-0.990672,nan,nan,-0.002905
#47,C,EG25,-10.648,30.712,-0.051453,2.513557,2.240029,nan,nan,-10.795608,33.305142,-0.177107,nan,nan,0.903367
#48,C,ETH-2,-10.648,30.712,0.104204,-9.954694,-10.481878,nan,nan,-10.168999,20.439985,-0.809169,nan,nan,0.201351
#49,C,ETH-3,-10.648,30.712,11.890831,7.199101,18.964201,nan,nan,1.682891,38.112085,-0.461833,nan,nan,0.618429
#50,C,ETH-3,-10.648,30.712,11.870088,7.187782,18.913908,nan,nan,1.661333,38.100454,-0.478986,nan,nan,0.605144
#51,C,ETH-1,-10.648,30.712,12.160442,6.690553,18.353108,nan,nan,1.987246,37.586743,-0.839773,nan,nan,0.211875
#52,C,HG,-10.648,30.712,1.178929,33.656606,33.262990,nan,nan,-10.633735,65.436215,-1.029201,nan,nan,0.019455
#53,C,ETH-4,-10.648,30.712,0.026864,-10.046959,-10.461211,nan,nan,-10.247503,20.344964,-0.617007,nan,nan,0.447842
#54,C,ETH-3,-10.648,30.712,11.885367,7.246502,18.969809,nan,nan,1.675356,38.161006,-0.497012,nan,nan,0.608073
#55,C,ETH-2,-10.648,30.712,0.104521,-9.950845,-10.521698,nan,nan,-10.168806,20.443956,-0.853524,nan,nan,0.197925
#56,C,ETH-4,-10.648,30.712,0.041429,-10.092683,-10.397321,nan,nan,-10.230376,20.297752,-0.522114,nan,nan,0.472912
#57,C,ETH-3,-10.648,30.712,11.892773,7.154304,18.985005,nan,nan,1.686598,38.065859,-0.399692,nan,nan,0.641487
#58,C,EG25,-10.648,30.712,0.169207,7.795763,7.710909,nan,nan,-10.756634,38.754866,-0.126650,nan,nan,0.940390
#59,C,ETH-4,-10.648,30.712,0.034386,-10.069170,-10.405656,nan,nan,-10.238710,20.322028,-0.546608,nan,nan,0.468649
#60,C,ETH-4,-10.648,30.712,0.029081,-10.094576,-10.437415,nan,nan,-10.243386,20.295827,-0.547998,nan,nan,0.472790
#61,C,HG,-10.648,30.712,1.041477,29.204465,28.837511,nan,nan,-10.617157,60.842708,-0.937846,nan,nan,0.077165
