UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
1,2013-S01,ETH-1,-32.913,36.935,33.796000,2.259000,36.461000,5.346000,35.237000,2.060585,39.203656,-0.714879,0.819475,-5.251321,0.231345
2,2013-S01,ETH-1,-32.913,36.935,33.826000,2.230000,36.485000,5.495000,44.397000,2.092779,39.173487,-0.693228,1.025732,3.576457,0.255465
3,2013-S01,ETH-1,-32.913,36.935,33.787000,2.225000,36.449000,5.029000,34.060000,2.052508,39.168385,-0.684144,0.571786,-6.306829,0.265413
4,2013-S01,ETH-1,-32.913,36.935,33.773000,2.211000,36.397000,4.607000,33.843000,2.038505,39.153885,-0.706596,0.179601,-6.473748,0.240301
5,2013-S01,ETH-2,-32.913,36.935,21.365000,-14.293000,7.091000,-23.363000,1.412000,-10.218882,22.051166,-0.608045,5.165500,7.157168,0.241152
6,2013-S01,ETH-2,-32.913,36.935,21.507000,-14.308000,7.190000,-24.459000,-19.257000,-10.071022,22.035277,-0.638204,4.068045,-13.747075,0.208045
7,2013-S01,ETH-2,-32.913,36.935,21.334000,-14.213000,7.122000,-25.134000,-0.371000,-10.254026,22.134274,-0.625723,3.179924,5.236150,0.221647
8,2013-S01,ETH-2,-32.913,36.935,21.389000,-14.374000,7.025000,-24.579000,17.286000,-10.190962,21.967036,-0.617032,4.078992,23.261831,0.230934
9,2013-S01,ETH-3,-32.913,36.935,33.438000,2.634000,36.906000,6.494000,50.745000,1.675332,39.593708,-0.296305,1.212945,9.280694,0.697572
10,2013-S01,ETH-3,-32.913,36.935,33.345000,2.746000,36.910000,7.670000,49.774000,1.574713,39.710172,-0.309417,2.158867,8.223399,0.683033
11,2013-S01,ETH-3,-32.913,36.935,33.501000,2.797000,37.111000,6.396000,45.335000,1.734647,39.762755,-0.321325,0.790032,3.698282,0.670561
12,2013-S01,ETH-3,-32.913,36.935,33.503000,2.594000,36.917000,5.740000,43.540000,1.744240,39.552041,-0.311355,0.542733,2.371414,0.680909
13,2013-S01,ETH-4,-32.913,36.935,21.710000,-14.517000,7.487000,-22.884000,3.421000,-9.852641,21.817883,-0.340055,6.115719,9.265090,0.540063
14,2013-S01,ETH-4,-32.913,36.935,21.582000,-14.353000,7.487000,-23.462000,17.756000,-9.991542,21.988399,-0.374369,5.185978,23.485588,0.501979
15,2013-S01,ETH-4,-32.913,36.935,21.533000,-14.361000,7.436000,-25.381000,20.019000,-10.042073,21.980206,-0.367524,3.226966,25.830134,0.509386
16,2013-S01,ETH-4,-32.913,36.935,21.407000,-14.386000,7.268000,-24.696000,9.151000,-10.171842,21.954539,-0.382087,3.983002,15.084260,0.492602
17,2013-S01,HG,-32.913,36.935,-0.600000,-58.862000,-59.051000,-69.917000,-11.407000,-31.321612,-24.161645,-0.621518,50.062360,114.425523,-0.018749
18,2013-S01,HG,-32.913,36.935,-2.654000,-79.241000,-80.904000,-79.663000,-31.563000,-32.670612,-45.310000,-0.472999,85.562781,142.197332,0.065163
19,2013-S01,HG,-32.913,36.935,-0.188000,-54.536000,-54.349000,-36.146000,28.933000,-31.059132,-19.672257,-0.570852,78.254460,148.989694,0.054899
20,2013-S01,HG,-32.913,36.935,1.026000,-24.657000,-23.894000,94.692000,158.151000,-30.929164,11.339078,-0.709080,150.739991,215.024353,0.014264
21,2013-S01,HG,-32.913,36.935,1.563000,-23.761000,-22.441000,-39.885000,232.046000,-30.405732,12.267921,-0.677735,7.420895,289.480659,0.054435
