UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
1,Feb_2017,ETH-1,-10.492,31.560,11.976819,5.073262,16.727461,257.066317,286.856812,2.010954,36.771519,-0.669631,244.407993,258.056866,0.203674
2,Feb_2017,ETH-1,-10.492,31.560,12.001559,5.300761,16.962099,264.798773,312.646083,2.028775,37.006388,-0.686610,251.495967,282.664938,0.186208
3,Feb_2017,ETH-3,-10.492,31.560,11.721228,5.759496,17.534492,11.522899,20.027724,1.714827,37.480747,-0.286856,-0.028839,-3.869096,0.609067
4,Feb_2017,ETH-3,-10.492,31.560,11.720151,5.804121,17.589231,11.896467,-66.503282,1.712040,37.526831,-0.275589,0.251700,-88.451333,0.621059
5,Feb_2017,ETH-3,-10.492,31.560,11.712880,5.749810,17.526257,11.739861,36.702464,1.706339,37.470764,-0.276971,0.204911,12.443057,0.619481
6,Feb_2017,ETH-3,-10.492,31.560,11.717715,5.869313,17.640856,11.857512,67.451024,1.707055,37.594157,-0.286094,0.083547,42.223408,0.610074
7,Feb_2017,ETH-4,-10.492,31.560,-0.101140,-11.319870,-11.618983,-22.035945,304.196231,-10.179194,19.871024,-0.390852,0.486610,333.842307,0.443751
8,Feb_2017,ETH-4,-10.492,31.560,-0.103830,-11.384897,-11.687958,-22.109351,34.394254,-10.179626,19.803880,-0.393199,0.543123,58.047153,0.441143
9,Feb_2017,ETH-4,-10.492,31.560,-0.099665,-11.374748,-11.658835,-22.218080,-36.045226,-10.175590,19.814351,-0.378128,0.411335,-14.027293,0.457099
10,Feb_2017,ETH-4,-10.492,31.560,-0.097189,-11.347513,-11.646003,-22.138746,-20.017437,-10.173979,19.842470,-0.394777,0.437384,2.309687,0.439558
11,Feb_2017,HG,-10.492,31.560,12.024744,3.523476,15.080440,7.043518,54.266710,2.118931,35.171030,-0.822371,-0.015640,33.750279,0.039383
12,Feb_2017,HG,-10.492,31.560,-25.493787,-7.136763,-33.866713,-14.105663,-8.368051,-37.239543,24.249097,-0.753769,0.118383,33.783793,0.018424
13,Feb_2017,HG,-10.492,31.560,9.429930,-4.240077,4.704530,-8.393892,53.999613,-0.343266,27.160038,-0.812362,0.068949,52.257327,0.030157
14,Feb_2017,EG50,-10.492,31.560,-25.573040,-7.805549,-33.856518,-14.859556,20.835603,-37.298696,23.558635,0.002576,0.701290,65.730580,0.816439
15,Feb_2017,EG50,-10.492,31.560,6.296362,-7.496564,-1.003454,-14.435885,68.002258,-3.542696,23.804458,-0.082174,0.508698,76.683545,0.789671
16,Feb_2017,EG50,-10.492,31.560,6.277948,-7.851550,-1.360703,-15.265981,19.404045,-3.549031,23.437926,-0.069242,0.381495,28.433080,0.802633
17,Feb_2017,EG25,-10.492,31.560,6.991387,9.516717,16.649998,18.753216,77.364604,-3.435163,41.371600,0.012466,-0.363785,49.673702,0.923186
18,Feb_2017,EG25,-10.492,31.560,-25.008807,9.320883,-16.831859,18.610339,39.860847,-37.334004,41.243589,0.058115,-0.116374,49.067774,0.907501
19,Feb_2017,EG25,-10.492,31.560,-24.906821,9.342926,-16.691632,18.634243,34.221625,-37.226756,41.266116,0.071219,-0.136582,43.217255,0.921594
20,Mar_2017,ETH-1,-10.482,31.443,11.986628,5.514995,17.199993,268.731375,278.084076,2.014642,37.109763,-0.646996,254.852320,248.389176,0.224962
21,Mar_2017,ETH-1,-10.482,31.443,12.014192,5.416117,17.098155,318.582779,301.901605,2.047495,37.007605,-0.678506,304.414913,271.862190,0.190774
22,Mar_2017,ETH-2,-10.482,31.443,-0.090784,-11.246327,-11.800834,-21.114551,-1.836167,-10.161466,19.831022,-0.658516,1.280257,20.692960,0.158773
23,Mar_2017,ETH-2,-10.482,31.443,-0.096927,-11.271127,-11.817135,-21.734594,4.580382,-10.167053,19.805430,-0.644023,0.696228,27.311693,0.174381
24,Mar_2017,ETH-2,-10.482,31.443,-0.103089,-11.398923,-11.986724,-21.888833,-207.314478,-10.168831,19.673490,-0.682191,0.797147,-189.166605,0.132884
25,Mar_2017,ETH-2,-10.482,31.443,-0.098565,-11.288049,-11.817525,-21.652513,-5.177563,-10.168159,19.787961,-0.625913,0.814448,17.368939,0.193921
26,Mar_2017,ETH-3,-10.482,31.443,11.713005,5.922865,17.685764,12.551870,117.844763,1.709679,37.531534,-0.289484,0.663273,91.317451,0.611615
27,Mar_2017,HG,-10.482,31.443,-24.908623,7.346035,-19.417348,15.086876,74.318104,-37.145707,39.085841,-0.756935,0.335649,87.886414,0.038462
28,Mar_2017,HG,-10.482,31.443,11.967123,4.149462,15.618594,8.555075,79.850766,2.044357,35.699858,-0.846696,0.237059,57.603902,0.006556
29,Mar_2017,HG,-10.482,31.443,-25.370446,-6.856525,-33.443343,-13.445497,-25.158010,-37.109890,24.421770,-0.723735,0.223364,15.579643,0.048283
30,Mar_2017,HG,-10.482,31.443,-25.254042,-3.676625,-30.331539,-7.180710,18.811558,-37.104438,27.704962,-0.773730,0.159965,54.609927,0.000108
31,Mar_2017,EG50,-10.482,31.443,-25.186232,4.790444,-21.446022,9.800773,28.513787,-37.345616,36.447649,-0.038474,0.194824,47.029859,0.809915
32,Mar_2017,EG50,-10.482,31.443,6.243297,-7.829662,-1.385431,-15.160475,308.820841,-3.577028,23.344286,-0.080147,0.444535,320.404562,0.802136
33,Mar_2017,EG50,-10.482,31.443,6.798124,5.371270,12.230342,10.847373,112.546773,-3.477603,36.973371,-0.101045,0.075220,92.974653,0.804827
34,Mar_2017,EG50,-10.482,31.443,6.328507,-7.633316,-1.098969,-14.767335,28.847314,-3.494030,23.546823,-0.075235,0.447897,37.455979,0.807968
35,Mar_2017,EG25,-10.482,31.443,-24.996435,9.136349,-16.985922,18.383256,-9.371050,-37.304699,40.934677,0.067850,0.026354,-0.254878,0.932905
36,Mar_2017,EG25,-10.482,31.443,6.543588,-3.102468,3.701168,-5.614390,43.904001,-3.434113,28.224555,0.019443,0.584597,43.020121,0.919023
37,Mar_2017,EG25,-10.482,31.443,-24.979121,9.233313,-16.912929,18.646250,-4.306170,-37.289924,41.034760,0.029362,0.092408,4.647993,0.891512
38,Mar_2017,EG25,-10.482,31.443,-25.328044,-3.532301,-29.449998,-6.518944,-14.266105,-37.188194,27.854157,0.070774,0.536733,20.162544,0.912956
