UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
1,Session01,ETH-1,-4.433,25.215,6.286000,11.394000,17.090000,22.333000,-33.226000,1.844905,36.894502,-0.657759,-0.571679,-60.804852,0.220559
2,Session01,ETH-1,-4.433,25.215,6.414000,11.575000,17.405000,22.733000,-34.629000,1.974638,37.079967,-0.655252,-0.538401,-62.624616,0.223028
3,Session01,ETH-1,-4.433,25.215,6.449000,11.557000,17.417000,22.722000,12.276000,2.012587,37.061412,-0.661834,-0.513581,-17.081908,0.216456
4,Session01,ETH-1,-4.433,25.215,6.449000,11.510000,17.357000,22.630000,13.151000,2.014310,37.013175,-0.675116,-0.510614,-16.142455,0.203201
5,Session01,ETH-1,-4.433,25.215,6.458000,11.553000,17.398000,22.696000,11.788000,2.022322,37.057286,-0.685829,-0.531086,-17.557483,0.192501
6,Session01,ETH-1,-4.433,25.215,6.438000,11.381000,17.217000,22.396000,11.296000,2.007320,36.880807,-0.676064,-0.484395,-17.686213,0.202270
7,Session01,ETH-1,-4.433,25.215,6.420000,11.431000,17.258000,22.420000,11.385000,1.986310,36.932164,-0.665921,-0.559754,-17.676477,0.212392
8,Session01,ETH-1,-4.433,25.215,6.357000,11.441000,17.208000,22.449000,11.503000,1.918824,36.942574,-0.660220,-0.551169,-17.515420,0.218089
9,Session01,ETH-1,-4.433,25.215,6.429000,11.486000,17.320000,22.529000,11.233000,1.993882,36.988590,-0.667662,-0.561902,-17.938415,0.210647
10,Session01,ETH-1,-4.433,25.215,6.451000,11.503000,17.358000,22.552000,9.480000,2.016697,37.005986,-0.669383,-0.573016,-19.696059,0.208925
11,Session01,ETH-1,-4.433,25.215,6.447000,11.463000,17.305000,22.521000,10.360000,2.013902,36.964943,-0.678493,-0.524268,-18.761085,0.199836
12,Session01,ETH-1,-4.433,25.215,6.452000,11.472000,17.336000,22.512000,10.473000,2.018899,36.974168,-0.661905,-0.550852,-18.673696,0.216393
13,Session01,ETH-1,-4.433,25.215,6.451000,11.551000,17.425000,22.686000,10.872000,2.014938,37.055249,-0.650196,-0.536906,-18.435827,0.228073
14,Session01,ETH-1,-4.433,25.215,6.451000,11.455000,17.318000,22.491000,10.652000,2.018457,36.956723,-0.662048,-0.537782,-18.466402,0.216252
15,Session01,ETH-1,-4.433,25.215,6.299000,11.482000,17.193000,22.547000,10.258000,1.855528,36.984788,-0.655366,-0.536405,-18.742603,0.222937
16,Session01,ETH-1,-4.433,25.215,6.426000,11.499000,17.339000,22.570000,11.108000,1.990209,37.001939,-0.658553,-0.547519,-18.081490,0.219740
17,Session01,ETH-1,-4.433,25.215,6.446000,11.494000,17.350000,22.660000,12.161000,2.011700,36.996761,-0.663377,-0.449672,-17.070155,0.214922
18,Session01,ETH-1,-4.433,25.215,6.413000,11.489000,17.320000,22.603000,12.881000,1.976726,36.991707,-0.654186,-0.495502,-16.327025,0.224101
19,Session01,ETH-1,-4.433,25.215,6.445000,11.467000,17.329000,22.560000,12.823000,2.011625,36.969053,-0.656754,-0.494053,-16.374636,0.221537
20,Session01,ETH-2,-4.433,25.215,-5.508000,-5.225000,-11.439000,-10.433000,7.051000,-10.108573,19.865497,-0.656059,-0.010461,23.478252,0.225295
21,Session01,ETH-2,-4.433,25.215,-5.567000,-5.242000,-11.531000,-10.502000,8.910000,-10.170803,19.848185,-0.671105,-0.046012,25.466853,0.210282
22,Session01,ETH-2,-4.433,25.215,-5.493000,-5.113000,-11.327000,-10.261000,9.959000,-10.096731,19.980410,-0.669005,-0.061825,26.190145,0.212358
23,Session01,ETH-2,-4.433,25.215,-5.519000,-5.289000,-11.525000,-10.579000,9.977000,-10.117928,19.799838,-0.668385,-0.029334,26.593862,0.212998
24,Session01,ETH-2,-4.433,25.215,-5.565000,-5.353000,-11.647000,-10.734000,-3.655000,-10.164570,19.734260,-0.680825,-0.057318,12.915567,0.200591
25,Session01,ETH-2,-4.433,25.215,-5.569000,-5.409000,-11.684000,-10.770000,-3.875000,-10.166762,19.676795,-0.658773,0.018895,12.808296,0.222610
26,Session01,ETH-2,-4.433,25.215,-5.521000,-5.177000,-11.428000,-10.381000,-4.745000,-10.124197,19.914790,-0.678866,-0.054415,11.408027,0.202523
27,Session01,ETH-2,-4.433,25.215,-5.567000,-5.334000,-11.624000,-10.681000,-4.797000,-10.167403,19.753764,-0.674264,-0.041950,11.718767,0.207139
28,Session01,ETH-2,-4.433,25.215,-5.566000,-5.234000,-11.531000,-10.455000,-3.394000,-10.170033,19.856394,-0.680043,-0.014599,12.943844,0.201359
29,Session01,ETH-2,-4.433,25.215,-5.581000,-5.379000,-11.686000,-10.815000,-4.966000,-10.180656,19.707612,-0.677988,-0.086918,11.652074,0.203427
30,Session01,ETH-2,-4.433,25.215,-5.580000,-5.336000,-11.642000,-10.655000,-4.544000,-10.181179,19.751742,-0.677009,-0.011649,11.994064,0.204400
31,Session01,ETH-2,-4.433,25.215,-5.575000,-5.244000,-11.540000,-10.494000,-3.899000,-10.179252,19.846151,-0.669935,-0.033906,12.460331,0.211452
32,Session01,ETH-2,-4.433,25.215,-5.552000,-5.215000,-11.491000,-10.447000,-5.379000,-10.155820,19.875861,-0.672885,-0.044713,10.873194,0.208501
33,Session01,ETH-2,-4.433,25.215,-5.528000,-5.083000,-11.312000,-10.202000,-5.428000,-10.135128,20.011280,-0.647182,-0.062523,10.533889,0.234143
34,Session01,ETH-2,-4.433,25.215,-5.548000,-5.015000,-11.279000,-10.054000,-5.494000,-10.158949,20.081116,-0.660239,-0.049699,10.352793,0.221104
35,Session01,ETH-2,-4.433,25.215,-5.497000,-4.954000,-11.162000,-9.947000,-4.556000,-10.106868,20.143603,-0.655096,-0.064228,11.128650,0.226226
36,Session01,ETH-2,-4.433,25.215,-5.476000,-4.854000,-11.040000,-9.792000,-5.588000,-10.088189,20.246187,-0.652312,-0.108665,9.858222,0.228993
37,Session01,ETH-2,-4.433,25.215,-5.403000,-4.943000,-11.061000,-9.896000,-4.907000,-10.007127,20.154676,-0.661340,-0.034827,10.648346,0.219982
38,Session01,ETH-3,-4.433,25.215,6.139000,11.799000,17.751000,23.289000,12.701000,1.673444,37.310501,-0.251177,-0.437784,-16.808659,0.626408
39,Session01,ETH-3,-4.433,25.215,6.155000,11.834000,17.783000,23.402000,12.655000,1.689208,37.346385,-0.270145,-0.396561,-16.936806,0.607467
40,Session01,ETH-3,-4.433,25.215,6.163000,11.927000,17.887000,23.599000,12.488000,1.694322,37.441813,-0.266534,-0.387904,-17.284758,0.611061
41,Session01,ETH-3,-4.433,25.215,6.143000,11.855000,17.810000,23.415000,11.247000,1.675653,37.367965,-0.251724,-0.425356,-18.331222,0.625856
42,Session01,ETH-3,-4.433,25.215,6.145000,11.826000,17.783000,23.314000,10.918000,1.678847,37.338198,-0.252123,-0.466710,-18.597405,0.625460
43,Session01,ETH-3,-4.433,25.215,6.150000,11.855000,17.789000,23.447000,11.520000,1.683111,37.367949,-0.279526,-0.394101,-18.073487,0.598101
44,Session01,ETH-3,-4.433,25.215,6.158000,11.884000,17.852000,23.478000,11.339000,1.690571,37.397694,-0.254016,-0.421120,-18.312800,0.623562
45,Session01,ETH-3,-4.433,25.215,6.151000,11.849000,17.813000,23.356000,10.812000,1.684396,37.361789,-0.251149,-0.471127,-18.750378,0.626429
46,Session01,ETH-3,-4.433,25.215,6.134000,11.827000,17.758000,23.356000,9.820000,1.667091,37.339250,-0.266376,-0.427662,-19.653830,0.611233
