UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
46323,2015-03 - 2018-05,ETH-4,-10.389,33.096,-0.269260,-12.803300,-13.322600,nan,nan,-10.198787,19.855321,-0.466400,nan,nan,0.438865
46394,2015-03 - 2018-05,ETH-1,-10.389,33.096,11.825300,4.033500,15.530300,nan,nan,1.993567,37.239783,-0.675885,nan,nan,0.231459
47369,2015-03 - 2018-05,ETH-3,-10.389,33.096,11.423600,4.546600,16.004800,nan,nan,1.548927,37.771351,-0.301609,nan,nan,0.620844
47520,2015-03 - 2018-05,HG1000,-10.389,33.096,-0.030600,-0.446550,-1.331600,nan,nan,-10.404646,32.633987,-0.861483,nan,nan,0.032353
47527,2015-03 - 2018-05,EG4,-10.389,33.096,1.306000,38.626200,39.430300,nan,nan,-10.421556,73.040058,0.077703,nan,nan,1.023769
47541,2015-03 - 2018-05,EG60,-10.389,33.096,0.920940,29.513800,29.837400,nan,nan,-10.497643,63.616806,-0.137402,nan,nan,0.796608
47548,2015-03 - 2018-05,EG60,-10.389,33.096,-0.310840,-7.275900,-7.637600,nan,nan,-10.448399,25.571782,-0.167470,nan,nan,0.751781
47752,2015-03 - 2018-05,ETH-4,-10.389,33.096,-0.356500,-12.588000,-13.183300,nan,nan,-10.299253,20.078181,-0.449589,nan,nan,0.456397
48071,2015-03 - 2018-05,ETH-1,-10.389,33.096,10.201000,5.018400,14.794000,nan,nan,0.235897,38.262110,-0.707667,nan,nan,0.198142
48321,2015-03 - 2018-05,HG1000,-10.389,33.096,-0.210420,-1.067100,-2.131400,nan,nan,-10.572229,31.992634,-0.866608,nan,nan,0.026734
48328,2015-03 - 2018-05,EG60,-10.389,33.096,0.926150,28.663200,29.021900,nan,nan,-10.461063,62.737095,-0.122689,nan,nan,0.811614
48335,2015-03 - 2018-05,EG4,-10.389,33.096,1.350200,38.568900,39.417900,nan,nan,-10.372634,72.980693,0.074402,nan,nan,1.020332
48342,2015-03 - 2018-05,EG4,-10.389,33.096,0.125360,1.609300,1.789600,nan,nan,-10.315441,34.759773,0.077974,nan,nan,1.010431
48450,2015-03 - 2018-05,HG1000,-10.389,33.096,-0.013190,-0.398390,-1.289500,nan,nan,-10.387980,32.683754,-0.884636,nan,nan,0.008291
48457,2015-03 - 2018-05,EG4,-10.389,33.096,1.304800,38.472300,39.273300,nan,nan,-10.417233,72.880895,0.073499,nan,nan,1.019340
48471,2015-03 - 2018-05,EG60,-10.389,33.096,-0.308210,-7.341000,-7.636000,nan,nan,-10.443195,25.504451,-0.104111,nan,nan,0.817669
48478,2015-03 - 2018-05,HG1000,-10.389,33.096,1.133400,32.727500,32.474800,nan,nan,-10.389729,66.939950,-0.861280,nan,nan,0.044796
48599,2015-03 - 2018-05,HG1000,-10.389,33.096,1.123900,33.765300,33.487100,nan,nan,-10.437618,68.013277,-0.858521,nan,nan,0.048032
48606,2015-03 - 2018-05,EG60,-10.389,33.096,-0.153540,-7.595300,-7.744100,nan,nan,-10.269843,25.241101,-0.120801,nan,nan,0.800274
48613,2015-03 - 2018-05,EG4,-10.389,33.096,0.245510,2.043100,2.328400,nan,nan,-10.204157,35.208129,0.066051,nan,nan,0.998227
48925,2015-03 - 2018-05,HG1000,-10.389,33.096,-24.410900,-18.785000,-44.025700,nan,nan,-35.559002,13.724358,-0.874396,nan,nan,0.003477
48939,2015-03 - 2018-05,EG60,-10.389,33.096,-24.125900,-7.678700,-32.366500,nan,nan,-35.670630,25.210003,-0.114121,nan,nan,0.798311
48946,2015-03 - 2018-05,EG60,-10.389,33.096,-24.118400,-7.674800,-32.385400,nan,nan,-35.662827,25.214019,-0.145449,nan,nan,0.765727
49028,2015-03 - 2018-05,ETH-3,-10.389,33.096,11.393600,4.502700,15.913600,nan,nan,1.518757,37.726020,-0.317804,nan,nan,0.603969
