Sample,N,d13C_VPDB,d18O_VSMOW,D47,SE,95% CL,SD,p_Levene
EG23,18,-25.87,34.93,0.9302,,,0.0122,
EG4,48,-24.20,38.75,1.0399,,,0.0241,
EG60,44,-21.42,31.50,0.7581,,,0.0210,
HG1000,82,-19.83,27.89,0.0266,,,0.0207,
ETH-1,58,1.91,37.02,0.1932,0.0045,± 0.0088,0.0320,0.010
ETH-2,51,-10.16,19.98,0.1968,0.0043,± 0.0085,0.0264,0.397
ETH-3,59,1.61,37.39,0.6094,0.0042,± 0.0083,0.0240,1.000
ETH-4,47,-10.25,19.88,0.4414,0.0042,± 0.0083,0.0233,0.680
IAEA-C1,6,2.34,37.00,0.2949,0.0109,± 0.0215,0.0378,0.021
IAEA-C2,12,-8.25,30.13,0.6343,0.0078,± 0.0152,0.0289,0.277
MERCK,9,-41.99,23.15,0.5420,0.0090,± 0.0177,0.0283,0.871
