UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
1,Session1,eEG,-3.591,25.207,-6.144221,22.607581,15.904747,63.445197,-1.132371,-10.971022,48.423977,0.163221,16.944048,-37.754372,0.931777
11,Session1,EG,-3.591,25.207,-6.618430,6.012375,-0.966264,16.154515,0.178841,-10.868995,31.393044,-0.008384,4.044761,-4.511233,0.924314
63,Session1,HG,-3.591,25.207,-6.897618,3.704939,-4.372162,9.542855,-0.749615,-11.081811,29.025530,-0.875664,2.103563,-0.638595,0.038022
73,Session1,MERCK,-3.591,25.207,-36.072639,-2.330189,-40.131006,-6.051669,-0.127040,-41.966735,22.899042,-0.740576,-1.403586,44.623048,0.552256
81,Session1,Carrara,-3.591,25.207,5.735792,11.993888,17.380946,31.996769,-1.160185,2.083905,37.503211,-0.390663,7.679850,-30.218773,0.327901
130,Session1,eHG,-3.591,25.207,-6.054616,20.529377,13.068221,55.025435,-0.561527,-10.799644,46.290850,-0.726152,13.005658,-33.442139,0.016107
142,Session1,ETH-1,-3.591,25.207,5.467697,11.294548,16.368664,30.660413,-2.429172,1.823692,36.786098,-0.431428,7.767338,-29.858629,0.295076
151,Session1,ETH-2,-3.591,25.207,-6.354665,-5.273712,-12.436739,-13.989622,-0.940379,-10.171806,19.809359,-0.739006,-3.506962,16.376261,0.266839
159,Session1,ETH-3,-3.591,25.207,5.315492,11.726328,16.988019,31.555729,-1.616991,1.645575,37.229591,-0.085837,7.782021,-29.726387,0.655891
167,Session1,ETH-4,-3.591,25.207,-6.324592,-5.300660,-12.228706,-14.381199,-0.295011,-10.138746,19.781632,-0.533097,-3.848729,17.054150,0.483488
176,Session1,eEG,-3.591,25.207,-6.018633,25.827160,19.220851,70.111291,-1.467263,-10.954463,51.728028,0.202167,16.905317,-44.127345,0.938787
184,Session1,MERCK,-3.591,25.207,-35.967914,-2.161323,-39.898362,-5.723846,0.287340,-41.861305,23.072116,-0.776709,-1.412300,44.587464,0.511449
192,Session1,ETH-1,-3.591,25.207,5.273543,11.463162,16.232795,30.594131,-0.823456,1.610496,36.959600,-0.529762,7.366580,-28.415443,0.191992
201,Session1,Carrara,-3.591,25.207,5.767436,12.111412,17.492068,32.298970,-0.705776,2.113337,37.623753,-0.428059,7.740856,-30.031482,0.287010
209,Session1,ETH-2,-3.591,25.207,-6.248882,-5.013197,-12.120914,-13.655188,0.354190,-10.068644,20.076484,-0.786494,-3.690899,17.054336,0.213102
217,Session1,ETH-3,-3.591,25.207,5.373938,11.848149,17.164108,31.713234,-1.038048,1.703427,37.354481,-0.091056,7.693211,-29.453549,0.648519
63,Session1,HG,-3.591,25.207,-6.897618,3.704939,-4.372162,9.542855,-0.749615,-11.081811,29.025530,-0.875664,2.103563,-0.638595,0.038022
130,Session1,eHG,-3.591,25.207,-6.054616,20.529377,13.068221,55.025435,-0.561527,-10.799644,46.290850,-0.726152,13.005658,-33.442139,0.016107
226,Session1,eHG,-3.591,25.207,-5.923703,25.667768,18.284259,68.794443,-1.410359,-10.847439,51.564216,-0.662851,15.969639,-43.878483,0.029301
234,Session1,ETH-4,-3.591,25.207,-6.358475,-5.435332,-12.387265,-14.620751,-0.373217,-10.169897,19.643495,-0.525339,-3.821114,17.282171,0.493375
242,Session1,MERCK,-3.591,25.207,-35.860872,-2.290182,-39.862619,-6.125471,0.279432,-41.742420,22.939614,-0.727318,-1.557809,44.720204,0.563563
250,Session1,ETH-1,-3.591,25.207,5.630360,11.522598,16.685068,30.696663,-0.837756,1.988768,37.019769,-0.508699,7.348412,-28.908832,0.209685
258,Session1,ETH-2,-3.591,25.207,-6.277224,-5.122533,-12.255187,-13.998548,-0.056037,-10.094823,19.964336,-0.784959,-3.818804,16.887730,0.216125
266,Session1,ETH-3,-3.591,25.207,5.401433,11.890190,17.229024,31.675486,-0.820967,1.731202,37.397564,-0.096299,7.572613,-29.350185,0.642275
274,Session1,MERCK,-3.591,25.207,-35.594378,-2.252338,-39.559923,-6.101745,0.306662,-41.459671,22.977838,-0.734834,-1.609711,44.362415,0.552438
283,Session1,HG,-3.591,25.207,-7.399861,3.834663,-4.783198,9.834484,-0.040160,-11.622092,29.159833,-0.893602,2.133978,0.356471,0.023221
291,Session1,TV04,-3.591,25.207,4.866597,4.887026,9.639554,12.906077,-0.839614,1.418076,30.211424,-0.207906,3.078020,-15.472230,0.602353
299,Session1,ETH-1,-3.591,25.207,5.691564,11.558777,16.804089,30.698647,-1.098321,2.052698,37.056756,-0.489596,7.278297,-29.293263,0.228751
307,Session1,ETH-2,-3.591,25.207,-6.237754,-5.119410,-12.227207,-13.828390,0.289460,-10.052854,19.967450,-0.800686,-3.653144,17.189743,0.199123
315,Session1,ETH-3,-3.591,25.207,5.391686,11.922041,17.226971,31.701219,-1.061245,1.719642,37.430275,-0.119260,7.534316,-29.633601,0.617897
323,Session1,ETH-4,-3.591,25.207,-6.324263,-5.280068,-12.216548,-14.267869,0.328731,-10.139157,19.802765,-0.541476,-3.775434,17.646962,0.474457
331,Session1,Carrara,-3.591,25.207,5.655918,11.842183,17.169032,31.689590,-1.614394,2.004302,37.347701,-0.369654,7.682003,-30.292085,0.352422
340,Session1,EG,-3.591,25.207,-6.394992,6.763246,-0.021104,18.006958,-0.440120,-10.658353,32.163157,-0.028275,4.375273,-6.822822,0.893379
348,Session1,eHG,-3.591,25.207,-5.681312,22.886863,15.797950,61.104077,-1.547995,-10.487640,48.709527,-0.690757,14.151281,-39.148093,0.025421
364,Session1,TV04,-3.591,25.207,4.853096,5.074024,9.783242,13.314754,-0.235790,1.396804,30.403372,-0.234688,3.109362,-15.223322,0.572404
372,Session1,ETH-1,-3.591,25.207,5.650685,11.420635,16.608159,30.219429,-0.660219,2.014176,36.915076,-0.506087,7.085009,-28.564780,0.213258
380,Session1,ETH-2,-3.591,25.207,-6.198906,-5.091254,-12.141926,-13.825183,0.179857,-10.012474,19.996257,-0.782521,-3.706296,16.979357,0.217542
388,Session1,ETH-3,-3.591,25.207,5.296985,11.667746,16.895586,31.220869,-1.503477,1.627991,37.169511,-0.100807,7.571557,-29.486606,0.640941
396,Session1,ETH-4,-3.591,25.207,-6.419117,-5.571988,-12.594211,-14.841958,-0.177982,-10.229504,19.503383,-0.536834,-3.770995,17.821834,0.483305
405,Session1,eEG,-3.591,25.207,-6.011822,26.241909,19.588549,70.431072,-1.286762,-10.962304,52.153681,0.158504,16.387166,-44.720370,0.888578
413,Session1,Carrara,-3.591,25.207,5.706156,11.883476,17.237377,31.615680,-1.271325,2.056353,37.389963,-0.394112,7.527577,-30.088291,0.325723
421,Session1,MERCK,-3.591,25.207,-36.110819,-2.326254,-40.177135,-6.143653,0.348546,-42.007589,22.903169,-0.751588,-1.503876,45.156056,0.541033
429,Session1,ETH-1,-3.591,25.207,5.681342,11.555881,16.753167,30.489201,-0.767431,2.041906,37.053808,-0.526358,7.079376,-28.955733,0.190214
