UID,Session,Sample,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d48,d49,d13C_VPDB,d18O_VSMOW,D47raw,D48raw,D49raw,D47
34945,2019,eSSB_25,-11.585,36.146,22.109810,3.292601,26.313419,nan,nan,11.699086,39.510157,0.179326,nan,nan,0.935311
34958,2019,eSSB_25,-11.585,36.146,22.222094,3.498958,26.635561,nan,nan,11.810316,39.723934,0.177635,nan,nan,0.931188
34977,2019,dR_25,-11.585,36.146,-39.341802,-22.605267,-62.402885,nan,nan,-52.390917,12.788932,-0.520999,nan,nan,0.876281
34990,2019,ETH-1,-11.585,36.146,12.979962,0.438423,13.171289,nan,nan,2.139676,36.570857,-0.652391,nan,nan,0.180529
35005,2019,ETH-2,-11.585,36.146,0.915897,-15.670352,-15.321135,nan,nan,-10.032398,19.890109,-0.857438,nan,nan,0.181935
35038,2019,ETH-1,-11.585,36.146,13.015218,0.839266,13.613362,nan,nan,2.162145,36.986542,-0.645925,nan,nan,0.183873
35235,2019,ETH-2,-11.585,36.146,0.821236,-15.776960,-15.499380,nan,nan,-10.128627,19.779749,-0.834429,nan,nan,0.206839
35247,2019,eSSB_1000,-11.585,36.146,22.172388,0.046644,22.194824,nan,nan,11.885560,36.143248,-0.718005,nan,nan,0.046291
35260,2019,ETH-3,-11.585,36.146,12.747005,1.505142,14.421598,nan,nan,1.853537,37.677828,-0.229788,nan,nan,0.604336
35273,2019,dR_25,-11.585,36.146,-39.372367,-22.382259,-62.179730,nan,nan,-52.431630,13.020324,-0.474292,nan,nan,0.922491
35286,2019,dR_1000,-11.585,36.146,-39.132319,-22.127242,-62.511175,nan,nan,-52.187062,13.284299,-1.341353,nan,nan,0.036374
35299,2019,eSSB_25,-11.585,36.146,22.193200,3.886228,26.977455,nan,nan,11.765398,40.125685,0.160333,nan,nan,0.910918
35431,2019,eSSB_25,-11.585,36.146,21.947522,3.348082,26.187111,nan,nan,11.525230,39.568079,0.165633,nan,nan,0.922217
35456,2019,ETH-2,-11.585,36.146,0.919683,-15.611846,-15.236941,nan,nan,-10.030575,19.950786,-0.834294,nan,nan,0.205029
35469,2019,ETH-3,-11.585,36.146,12.675858,1.355179,14.194540,nan,nan,1.783775,37.522446,-0.233935,nan,nan,0.601772
35482,2019,dR_1000,-11.585,36.146,-39.253709,-21.382722,-61.946522,nan,nan,-52.343455,14.056851,-1.356348,nan,nan,0.016815
35496,2019,eSSB_1000,-11.585,36.146,22.144368,1.350898,23.454210,nan,nan,11.807567,37.496107,-0.740110,nan,nan,0.014288
35509,2019,ETH-3,-11.585,36.146,12.631504,1.259455,14.041757,nan,nan,1.740366,37.423261,-0.245411,nan,nan,0.591146
35522,2019,ETH-2,-11.585,36.146,0.681539,-15.760855,-15.620010,nan,nan,-10.277116,19.796774,-0.829035,nan,nan,0.213262
35535,2019,ETH-1,-11.585,36.146,12.714220,0.123018,12.619679,nan,nan,1.870044,36.244325,-0.616320,nan,nan,0.221590
35549,2019,dR_25,-11.585,36.146,-39.718910,-23.578209,-63.667369,nan,nan,-52.753669,11.780581,-0.486526,nan,nan,0.920998
35562,2019,eSSB_1000,-11.585,36.146,22.270653,1.384103,23.624206,nan,nan,11.940025,37.530255,-0.734042,nan,nan,0.019245
35576,2019,ETH-3,-11.585,36.146,12.598877,1.109180,13.861897,nan,nan,1.711393,37.267467,-0.241984,nan,nan,0.595993
35589,2019,ETH-2,-11.585,36.146,0.668000,-16.102428,-15.966270,nan,nan,-10.278691,19.442514,-0.825648,nan,nan,0.219304
35602,2019,ETH-1,-11.585,36.146,13.022168,-0.173326,12.646014,nan,nan,2.207032,35.936236,-0.612583,nan,nan,0.225225
35614,2019,ETH-3,-11.585,36.146,12.429427,0.406661,13.001948,nan,nan,1.558041,36.539185,-0.227705,nan,nan,0.617011
35640,2019,ETH-2,-11.585,36.146,0.707829,-15.895397,-15.737361,nan,nan,-10.244259,19.657163,-0.840952,nan,nan,0.201921
