,ETH-4,ETH-4,IAEA-C1,IAEA-C1,IAEA-C2,IAEA-C2,MERCK,MERCK
Lab,N, Δ47 (‰ I-CDES ± 1SE),N, Δ47 (‰ I-CDES ± 1SE),N, Δ47 (‰ I-CDES ± 1SE),N, Δ47 (‰ I-CDES ± 1SE)
01,80,0.4466 ± 0.0052,19,0.2762 ± 0.0081,21,0.6269 ± 0.0088,22,0.4977 ± 0.0105
02,22,0.4487 ± 0.0044,6,0.3076 ± 0.0061,8,0.6293 ± 0.0061,6,0.5011 ± 0.0089
03,23,0.4419 ± 0.0074,17,0.3104 ± 0.0073,13,0.6421 ± 0.0112,11,0.5221 ± 0.0152
04,9,0.4831 ± 0.0249,6,0.2949 ± 0.0215,4,0.6362 ± 0.0291,—,—
05,22,0.4723 ± 0.0055,18,0.2905 ± 0.0044,17,0.6372 ± 0.0057,14,0.4973 ± 0.0094
06,12,0.4534 ± 0.0061,12,0.2994 ± 0.0052,12,0.6465 ± 0.0069,12,0.5215 ± 0.0117
07,2,0.4392 ± 0.0225,4,0.3142 ± 0.0146,4,0.6207 ± 0.0195,3,0.4742 ± 0.0301
08,73,0.4431 ± 0.0072,67,0.3089 ± 0.0060,62,0.6377 ± 0.0071,70,0.5146 ± 0.0127
09,65,0.4493 ± 0.0041,8,0.2916 ± 0.0064,8,0.6303 ± 0.0078,2,0.5617 ± 0.0158
10,26,0.4405 ± 0.0075,33,0.2977 ± 0.0060,62,0.6342 ± 0.0065,31,0.4940 ± 0.0130
11,222,0.4456 ± 0.0025,31,0.3075 ± 0.0043,27,0.6348 ± 0.0050,25,0.5161 ± 0.0066
12,21,0.4509 ± 0.0032,20,0.3005 ± 0.0026,21,0.6473 ± 0.0032,19,0.5050 ± 0.0054
13,47,0.4473 ± 0.0062,6,0.3038 ± 0.0113,12,0.6370 ± 0.0091,9,0.5457 ± 0.0135
14,46,0.4537 ± 0.0041,—,—,—,—,—,—
15,8,0.4468 ± 0.0083,4,0.3006 ± 0.0090,4,0.6210 ± 0.0116,4,0.4627 ± 0.0196
16,4,0.4616 ± 0.0076,4,0.2951 ± 0.0063,3,0.6558 ± 0.0084,2,0.5162 ± 0.0137
17,5,0.4623 ± 0.0251,6,0.3244 ± 0.0181,6,0.6966 ± 0.0315,3,0.4608 ± 0.0430
18,196,0.4499 ± 0.0046,26,0.3050 ± 0.0080,28,0.6380 ± 0.0084,31,0.5304 ± 0.0104
19,14,0.4448 ± 0.0106,5,0.2841 ± 0.0142,4,0.6009 ± 0.0183,4,0.5242 ± 0.0340
20,6,0.4616 ± 0.0095,—,—,—,—,—,—
21,3,0.4459 ± 0.0108,—,—,—,—,—,—
22,7,0.4628 ± 0.0124,—,—,—,—,7,0.5255 ± 0.0213
23,6,0.4442 ± 0.0137,—,—,—,—,—,—
24,12,0.4532 ± 0.0042,—,—,—,—,—,—
26,8,0.4367 ± 0.0058,6,0.2998 ± 0.0051,6,0.6390 ± 0.0062,6,0.5138 ± 0.0095
w. avg,939,0.4497 ± 0.0011,298,0.3000 ± 0.0013,322,0.6391 ± 0.0016,281,0.5112 ± 0.0025
