Lab,ETH-4,IAEA-C1,IAEA-C2,MERCK
01,0.5346 ± 0.0052,0.3642 ± 0.0081,0.7149 ± 0.0088,0.5857 ± 0.0105
02,0.5367 ± 0.0044,0.3956 ± 0.0061,0.7173 ± 0.0061,0.5891 ± 0.0089
03,0.5299 ± 0.0074,0.3984 ± 0.0073,0.7301 ± 0.0112,0.6101 ± 0.0152
04,0.5711 ± 0.0249,0.3829 ± 0.0215,0.7242 ± 0.0291,—
05,0.5603 ± 0.0055,0.3785 ± 0.0044,0.7252 ± 0.0057,0.5853 ± 0.0094
06,0.5414 ± 0.0061,0.3874 ± 0.0052,0.7345 ± 0.0069,0.6095 ± 0.0117
07,0.5272 ± 0.0225,0.4022 ± 0.0146,0.7087 ± 0.0195,0.5622 ± 0.0301
08,0.5311 ± 0.0072,0.3969 ± 0.0060,0.7257 ± 0.0071,0.6026 ± 0.0127
09,0.5373 ± 0.0041,0.3796 ± 0.0064,0.7183 ± 0.0078,0.6497 ± 0.0158
10,0.5285 ± 0.0075,0.3857 ± 0.0060,0.7222 ± 0.0065,0.5820 ± 0.0130
11,0.5336 ± 0.0025,0.3955 ± 0.0043,0.7228 ± 0.0050,0.6041 ± 0.0066
12,0.5389 ± 0.0032,0.3885 ± 0.0026,0.7353 ± 0.0032,0.5930 ± 0.0054
13,0.5353 ± 0.0062,0.3918 ± 0.0113,0.7250 ± 0.0091,0.6337 ± 0.0135
14,0.5417 ± 0.0041,—,—,—
15,0.5348 ± 0.0083,0.3886 ± 0.0090,0.7090 ± 0.0116,0.5507 ± 0.0196
16,0.5496 ± 0.0076,0.3831 ± 0.0063,0.7438 ± 0.0084,0.6042 ± 0.0137
17,0.5503 ± 0.0251,0.4124 ± 0.0181,0.7846 ± 0.0315,0.5488 ± 0.0430
18,0.5379 ± 0.0046,0.3930 ± 0.0080,0.7260 ± 0.0084,0.6184 ± 0.0104
19,0.5328 ± 0.0106,0.3721 ± 0.0142,0.6889 ± 0.0183,0.6122 ± 0.0340
20,0.5496 ± 0.0095,—,—,—
21,0.5339 ± 0.0108,—,—,—
22,0.5508 ± 0.0124,—,—,0.6135 ± 0.0213
23,0.5322 ± 0.0137,—,—,—
24,0.5412 ± 0.0042,—,—,—
26,0.5247 ± 0.0058,0.3878 ± 0.0051,0.7270 ± 0.0062,0.6018 ± 0.0095
w. avg,0.5377 ± 0.0011,0.3880 ± 0.0013,0.7271 ± 0.0016,0.5992 ± 0.0025
