UID,Lab,Session,Instrument,Acid T,Sample,Mass,d13Cwg_VPDB,d18Owg_VSMOW,d45,d46,d47,d13C_VPDB,d18O_VSMOW,D47raw,D47
01_01_001,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.678000,11.999000,17.150000,2.013,37.682,-0.563290,0.262944
01_01_002,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.706000,11.992000,17.142000,2.043,37.675,-0.593059,0.230277
01_01_003,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.681000,11.933000,17.053000,2.018,37.614,-0.597594,0.225359
01_01_004,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.678000,11.947000,17.066000,2.015,37.628,-0.595338,0.227827
01_01_005,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.679000,11.990000,17.077000,2.014,37.673,-0.627306,0.192733
01_01_006,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.688000,11.987000,17.072000,2.024,37.669,-0.638532,0.180415
01_01_007,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.689000,11.968000,17.078000,2.026,37.650,-0.615214,0.206004
01_01_008,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.682000,11.818000,16.921000,2.024,37.496,-0.616663,0.204517
01_01_009,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.679000,11.844000,16.939000,2.019,37.523,-0.621147,0.199585
01_01_010,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.664000,11.778000,16.891000,2.006,37.455,-0.588848,0.235065
01_01_011,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.620000,11.732000,16.788000,1.961,37.408,-0.600297,0.222567
01_01_012,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.677000,11.807000,16.874000,2.019,37.485,-0.647045,0.171203
01_01_013,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.782000,12.019000,17.196000,2.123,37.702,-0.644126,0.174195
01_01_014,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.768000,11.962000,17.159000,2.110,37.644,-0.610784,0.210812
01_01_015,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.781000,12.025000,17.204000,2.122,37.708,-0.641066,0.177547
01_01_016,Lab01,Session01,Nu Perspective,70,ETH-1,0.500,-3.599,25.373,5.783000,12.052000,17.200000,2.123,37.736,-0.673259,0.142217
01_01_017,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.346000,-4.743000,-11.812000,-10.192,20.524,-0.640036,0.197864
01_01_018,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.333000,-4.707000,-11.703000,-10.179,20.561,-0.578835,0.264962
01_01_019,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.359000,-4.799000,-11.835000,-10.203,20.467,-0.594522,0.247832
01_01_020,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.351000,-4.772000,-11.820000,-10.196,20.495,-0.614309,0.226105
01_01_021,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.363000,-4.783000,-11.858000,-10.208,20.483,-0.629428,0.209536
01_01_022,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.362000,-4.756000,-11.837000,-10.208,20.511,-0.635882,0.202439
01_01_023,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.331000,-4.739000,-11.790000,-10.176,20.528,-0.637301,0.200851
01_01_024,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.360000,-4.781000,-11.859000,-10.205,20.485,-0.635527,0.202843
01_01_025,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.349000,-4.776000,-11.833000,-10.194,20.491,-0.625583,0.213741
01_01_026,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.344000,-4.771000,-11.807000,-10.188,20.496,-0.609413,0.231471
01_01_027,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.329000,-4.746000,-11.802000,-10.173,20.521,-0.644601,0.192847
01_01_028,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.366000,-4.953000,-12.032000,-10.205,20.309,-0.634465,0.204124
01_01_029,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.352000,-4.905000,-11.982000,-10.192,20.358,-0.645810,0.191639
01_01_030,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.330000,-4.899000,-11.941000,-10.169,20.364,-0.633093,0.205569
01_01_031,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.345000,-4.940000,-11.998000,-10.183,20.322,-0.634700,0.203843
01_01_032,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.252000,-4.695000,-11.691000,-10.093,20.573,-0.662594,0.173025
01_01_033,Lab01,Session01,Nu Perspective,70,ETH-2,0.500,-3.599,25.373,-6.258000,-4.717000,-11.740000,-10.099,20.551,-0.684200,0.149345
01_01_034,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,-3.599,25.373,5.392000,12.405000,17.638000,1.693,38.099,-0.184714,0.678121
01_01_035,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,-3.599,25.373,5.397000,12.466000,17.693000,1.696,38.162,-0.195034,0.666757
01_01_036,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,-3.599,25.373,5.387000,12.426000,17.620000,1.687,38.121,-0.217658,0.641975
01_01_037,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,-3.599,25.373,5.405000,12.447000,17.633000,1.705,38.142,-0.243740,0.613340
01_01_038,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,-3.599,25.373,5.388000,12.328000,17.493000,1.691,38.020,-0.248312,0.608415
01_01_039,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,-3.599,25.373,5.427000,12.361000,17.545000,1.732,38.054,-0.269269,0.585380
01_01_040,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,-3.599,25.373,5.348000,12.245000,17.321000,1.652,37.935,-0.295698,0.556522
01_01_041,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,-3.599,25.373,5.403000,12.350000,17.497000,1.707,38.043,-0.281130,0.572394
01_01_042,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,-3.599,25.373,5.346000,12.183000,17.303000,1.652,37.871,-0.251130,0.605448
01_01_043,Lab01,Session01,Nu Perspective,70,ETH-3,0.500,-3.599,25.373,5.418000,12.346000,17.534000,1.723,38.039,-0.256280,0.599643
01_01_044,Lab01,Session01,Nu Perspective,70,ETH-4,0.500,-3.599,25.373,-6.383000,-4.870000,-11.700000,-10.226,20.394,-0.362963,0.501885
01_01_045,Lab01,Session01,Nu Perspective,70,ETH-4,0.500,-3.599,25.373,-6.373000,-4.991000,-11.838000,-10.211,20.270,-0.393431,0.468537
01_01_046,Lab01,Session01,Nu Perspective,70,ETH-4,0.500,-3.599,25.373,-6.386000,-5.025000,-11.875000,-10.224,20.235,-0.383786,0.479148
01_01_047,Lab01,Session01,Nu Perspective,70,ETH-4,0.500,-3.599,25.373,-6.345000,-4.924000,-11.788000,-10.184,20.339,-0.438086,0.419494
01_01_048,Lab01,Session01,Nu Perspective,70,ETH-4,0.500,-3.599,25.373,-6.272000,-4.765000,-11.556000,-10.112,20.502,-0.436220,0.421388
01_01_049,Lab01,Session01,Nu Perspective,70,ETH-4,0.500,-3.599,25.373,-6.277000,-4.788000,-11.579000,-10.116,20.478,-0.431580,0.426496
01_01_050,Lab01,Session01,Nu Perspective,70,ETH-4,0.500,-3.599,25.373,-6.276000,-4.785000,-11.577000,-10.115,20.481,-0.433557,0.424325
01_02_001,Lab01,Session02,Nu Perspective,70,ETH-1,0.500,-3.549,25.511,5.677000,11.850000,17.043000,2.066,37.667,-0.522719,0.224273
01_02_002,Lab01,Session02,Nu Perspective,70,ETH-1,0.500,-3.549,25.511,5.649000,11.794000,16.936000,2.038,37.610,-0.544781,0.199229
01_02_003,Lab01,Session02,Nu Perspective,70,ETH-1,0.500,-3.549,25.511,5.689000,11.878000,17.091000,2.078,37.696,-0.515044,0.233009
01_02_004,Lab01,Session02,Nu Perspective,70,ETH-1,0.500,-3.549,25.511,5.703000,11.917000,17.095000,2.091,37.736,-0.563340,0.178742
01_02_005,Lab01,Session02,Nu Perspective,70,ETH-1,0.500,-3.549,25.511,5.632000,11.795000,16.902000,2.020,37.611,-0.561739,0.180093
01_02_006,Lab01,Session02,Nu Perspective,70,ETH-1,0.500,-3.549,25.511,5.600000,11.743000,16.843000,1.988,37.558,-0.536415,0.208415
01_02_007,Lab01,Session02,Nu Perspective,70,ETH-2,0.500,-3.549,25.511,-6.405000,-4.955000,-11.915000,-10.198,20.443,-0.473661,0.212107
01_02_008,Lab01,Session02,Nu Perspective,70,ETH-2,0.500,-3.549,25.511,-6.415000,-4.980000,-11.924000,-10.208,20.418,-0.447696,0.241265
01_02_009,Lab01,Session02,Nu Perspective,70,ETH-2,0.500,-3.549,25.511,-6.334000,-4.797000,-11.694000,-10.128,20.605,-0.479836,0.205680
01_02_010,Lab01,Session02,Nu Perspective,70,ETH-2,0.500,-3.549,25.511,-6.395000,-4.975000,-11.947000,-10.187,20.423,-0.496659,0.186186
01_02_011,Lab01,Session02,Nu Perspective,70,ETH-2,0.500,-3.549,25.511,-6.390000,-4.935000,-11.900000,-10.183,20.464,-0.493806,0.189502
01_02_012,Lab01,Session02,Nu Perspective,70,ETH-3,0.500,-3.549,25.511,5.320000,12.145000,17.317000,1.675,37.971,-0.173792,0.617044
01_02_013,Lab01,Session02,Nu Perspective,70,ETH-3,0.500,-3.549,25.511,5.342000,12.200000,17.411000,1.696,38.027,-0.157399,0.635685
01_02_014,Lab01,Session02,Nu Perspective,70,ETH-3,0.500,-3.549,25.511,5.298000,12.126000,17.247000,1.652,37.952,-0.201565,0.585669
01_02_015,Lab01,Session02,Nu Perspective,70,ETH-4,0.500,-3.549,25.511,-6.435000,-5.034000,-11.851000,-10.227,20.362,-0.299749,0.407702
01_03_001,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.716000,12.015000,17.140000,2.018,37.588,-0.627608,0.255531
01_03_002,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.707000,11.964000,17.042000,2.010,37.536,-0.665156,0.217387
01_03_003,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.710000,12.028000,17.086000,2.011,37.601,-0.687135,0.195061
01_03_004,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.718000,12.023000,17.107000,2.019,37.596,-0.669848,0.212622
01_03_005,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.705000,11.959000,17.041000,2.008,37.530,-0.659234,0.223402
01_03_006,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.715000,12.012000,17.078000,2.017,37.585,-0.684587,0.197649
01_03_007,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.721000,12.038000,17.113000,2.022,37.612,-0.681591,0.200694
01_03_008,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.716000,11.999000,17.080000,2.018,37.571,-0.671026,0.211425
01_03_009,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.733000,12.039000,17.126000,2.035,37.613,-0.682090,0.200187
01_03_010,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.711000,12.079000,17.162000,2.010,37.654,-0.663002,0.219578
01_03_011,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.705000,12.049000,17.093000,2.005,37.623,-0.695519,0.186544
01_03_012,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.717000,12.042000,17.107000,2.018,37.616,-0.687269,0.194925
01_03_013,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.711000,12.003000,17.059000,2.013,37.576,-0.690417,0.191726
01_03_014,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.725000,12.071000,17.159000,2.025,37.645,-0.672534,0.209895
01_03_015,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.725000,12.016000,17.098000,2.027,37.589,-0.679070,0.203254
01_03_016,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.720000,12.020000,17.111000,2.022,37.593,-0.665056,0.217490
01_03_017,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.712000,12.008000,17.079000,2.014,37.581,-0.676646,0.205716
01_03_018,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.723000,12.017000,17.095000,2.025,37.590,-0.680939,0.201356
01_03_019,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.721000,12.041000,17.145000,2.022,37.615,-0.653063,0.229673
01_03_020,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.714000,12.017000,17.110000,2.015,37.590,-0.656975,0.225699
01_03_021,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.713000,12.048000,17.149000,2.013,37.622,-0.647729,0.235092
01_03_022,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.705000,12.011000,17.115000,2.006,37.584,-0.637011,0.245978
01_03_023,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.726000,12.032000,17.147000,2.028,37.605,-0.647486,0.235339
01_03_024,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.712000,11.983000,17.081000,2.014,37.555,-0.650408,0.232368
01_03_025,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.687000,11.948000,17.023000,1.989,37.519,-0.647789,0.235028
01_03_026,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.727000,12.021000,17.112000,2.029,37.594,-0.672219,0.210213
01_03_027,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.718000,11.999000,17.117000,2.020,37.571,-0.636722,0.246273
01_03_028,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.682000,11.919000,16.974000,1.985,37.489,-0.662655,0.219926
01_03_029,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.711000,11.983000,17.046000,2.013,37.555,-0.683773,0.198475
01_03_030,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.720000,12.029000,17.130000,2.021,37.602,-0.655126,0.227578
01_03_031,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.724000,12.038000,17.145000,2.025,37.612,-0.653226,0.229508
01_03_032,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.723000,12.023000,17.160000,2.025,37.596,-0.622900,0.260314
01_03_033,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.769000,12.129000,17.286000,2.070,37.705,-0.649175,0.233627
01_03_034,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.734000,12.046000,17.167000,2.036,37.620,-0.649629,0.233163
01_03_035,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.709000,12.018000,17.081000,2.010,37.591,-0.681314,0.200974
01_03_036,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.724000,12.086000,17.204000,2.023,37.661,-0.641860,0.241055
01_03_037,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.712000,12.037000,17.111000,2.012,37.611,-0.673360,0.209055
01_03_038,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.725000,12.076000,17.184000,2.025,37.651,-0.652826,0.229915
01_03_039,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.701000,12.040000,17.121000,2.001,37.614,-0.655171,0.227532
01_03_040,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.706000,12.020000,17.116000,2.007,37.593,-0.645792,0.237059
01_03_041,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.693000,11.953000,17.038000,1.995,37.524,-0.644055,0.238821
01_03_042,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.666000,11.911000,16.960000,1.968,37.481,-0.652242,0.230502
01_03_043,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.664000,11.875000,16.901000,1.967,37.444,-0.673216,0.209196
01_03_044,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.701000,11.985000,17.083000,2.003,37.557,-0.639109,0.243847
01_03_045,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.705000,11.991000,17.112000,2.007,37.563,-0.620540,0.262710
01_03_046,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.701000,11.970000,17.010000,2.003,37.542,-0.696274,0.185776
01_03_047,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.656000,11.880000,16.905000,1.958,37.449,-0.665939,0.216588
01_03_048,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.696000,11.999000,17.068000,1.997,37.572,-0.662315,0.220274
01_03_049,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.687000,11.955000,17.008000,1.989,37.526,-0.669324,0.213151
01_03_050,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.700000,12.008000,17.073000,2.001,37.581,-0.670240,0.212223
01_03_051,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.705000,12.021000,17.125000,2.006,37.594,-0.636895,0.246097
01_03_052,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.695000,12.001000,17.075000,1.996,37.574,-0.656353,0.226329
01_03_053,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.698000,12.042000,17.092000,1.997,37.616,-0.682531,0.199738
01_03_054,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.703000,12.014000,17.099000,2.004,37.587,-0.653594,0.229133
01_03_055,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.744000,12.121000,17.230000,2.043,37.697,-0.670796,0.211662
01_03_056,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.699000,11.958000,17.027000,2.001,37.529,-0.665869,0.216662
01_03_057,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.700000,11.942000,17.006000,2.003,37.513,-0.671994,0.210440
01_03_058,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.708000,12.016000,17.074000,2.009,37.589,-0.685225,0.197001
01_03_059,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.712000,12.002000,17.049000,2.014,37.575,-0.700297,0.181690
01_03_060,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.697000,11.967000,17.022000,1.999,37.539,-0.677470,0.204877
01_03_061,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.699000,11.975000,17.067000,2.001,37.547,-0.643071,0.239822
01_03_062,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.688000,11.941000,16.978000,1.990,37.512,-0.686235,0.195972
01_03_063,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.726000,12.085000,17.217000,2.026,37.660,-0.630168,0.252933
01_03_064,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.686000,11.976000,17.036000,1.987,37.548,-0.661176,0.221430
01_03_065,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.681000,12.025000,17.062000,1.980,37.598,-0.678076,0.204263
01_03_066,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.770000,12.114000,17.290000,2.071,37.689,-0.631708,0.251370
01_03_067,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.744000,12.050000,17.184000,2.046,37.624,-0.647061,0.235772
01_03_068,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.699000,11.919000,16.982000,2.003,37.489,-0.672220,0.210209
01_03_069,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.682000,11.896000,16.943000,1.986,37.466,-0.670785,0.211666
01_03_070,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.688000,11.943000,16.988000,1.990,37.514,-0.678351,0.203982
01_03_071,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.665000,11.854000,16.912000,1.969,37.423,-0.643039,0.239850
01_03_072,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.668000,11.835000,16.925000,1.973,37.403,-0.614889,0.268446
01_03_073,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.706000,11.929000,17.058000,2.010,37.500,-0.614426,0.268920
01_03_074,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.672000,11.837000,16.899000,1.977,37.405,-0.646483,0.236351
01_03_075,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.662000,11.844000,16.870000,1.966,37.413,-0.671529,0.210909
01_03_076,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.669000,11.893000,16.949000,1.972,37.463,-0.648649,0.234152
01_03_077,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.696000,11.955000,17.017000,1.998,37.526,-0.669707,0.212763
01_03_078,Lab01,Session03,Nu Perspective,70,ETH-1,0.500,-3.635,25.267,5.680000,11.901000,16.997000,1.983,37.471,-0.620525,0.262722
